AreaOfInterestID,longitude,latitude,AreaOfInterest
457,-81.344777,28.588786,"Virginia, Lake"
485,-82.74474,29.0075,Withlacoochee River
345,-81.800727,27.504408,Peace River
292,-82.3142,28.425033,Middle Lake
196,-82.62011,28.44121,Hunter's Lake
443,-81.523833,28.441,"Tibet, Lake"
81,-81.341517,28.475583,"Conway, Lake"
213,-81.385583,28.48355,"Jessamine, Lake"
129,-82.15425,27.920033,Ed Medard Reservoir
470,-82.626753,28.532061,Weeki Wachee River
398,-81.93045,26.9845,Shell/Prairie Creek Res.
634,-81.52965,28.4721,Isleworth Lake
76,-81.413533,28.517333,Clear Lake
261,-81.531417,28.476967,"Louise, Lake"
67,-81.523133,28.477233,"Chase, Lake"
36,-81.516267,28.4788,"Blanche, Lake"
55,-81.545117,28.49,"Butler, Lake"
396,-81.51997,28.432487,"Sheen, Lake"
469,-81.545879,28.502122,Wauseon Bay
119,-81.53125,28.499367,"Down, Lake"
255,-82.10225,29.50582,"Lochloosa, Lake"
614,-81.9838841,29.4604276,Crystal and Blue Lakes
472,-81.9546,28.99892,"Weir, Lake"
403,-82.04119,29.21542,Silver River
30,-81.72471,30.432885,Bethesda Lake FMA
330,-82.20652,29.4281,Orange Lake
323,-81.630748,30.460338,Oceanway FMA
413,-81.638329,30.267965,St. Augustine Lake FMA
159,-81.84569,29.80248,Georges Lake
430,-83.082229,29.339827,Suwannee River
385,-82.74419,29.86926,Santa Fe River
234,-82.887458,30.423701,Lang Lake FMA
384,-82.05215,29.71324,Santa Fe Lake
11,-82.144795,29.779958,"Alto, Lake"
317,-82.345539,29.94964,New River
414,-80.7945,28.0105,St. Johns River
482,-80.8458,28.24816,"Winder, Lake"
18,-81.3529,27.56228,Arbuckle Creek
161,-81.26589,28.89325,"Gleason, Lake"
356,-80.835631,28.340909,"Poinsett, Lake"
235,-81.43824,28.56662,"Lawne, Lake"
206,-81.285361,27.378537,"Istokpoga, Lake"
276,-81.42627,28.53795,"Mann, Lake"
140,-81.409217,28.593983,"Fairview, Lake"
386,-81.40195,28.585433,"Sarah, Lake"
474,-81.41375,28.795,Wekiva River
23,-82.267889,28.047831,Baker Creek
188,-82.473617,27.96385,Hillsborough River
625,-82.261623,27.829281,Grady Lake
272,-81.351033,28.6217,"Maitland, Lake"
333,-81.34695,28.6006,"Osceola, Lake"
162,-81.506349,27.563378,"Glenada, Lake"
454,-82.28625,27.2685,Upper Myakka Lake
312,-82.273667,27.025283,Myakka River
442,-82.272767,28.0544,"Thonotosassa, Lake"
221,-81.43315,27.38819,"Josephine, Lake"
75,-81.347925,27.312059,Clay Lake
198,-81.342876,27.289695,"Huntley, Lake"
54,-81.137039,29.434638,Bulow Creek
115,-81.407933,29.290167,"Disston, Lake"
422,-81.512717,29.430017,"Stella, Lake"
21,-81.09455,28.937783,"Ashby, Lake"
318,-82.25258,29.61812,"Newnan, Lake"
471,-82.270333,27.988133,"Weeks, Lake"
370,-82.59666,27.987192,Rocky Creek
321,-81.264644,29.045876,North Lake Talmadge
374,-82.587577,29.028833,"Rousseau, Lake"
250,-81.47308,27.54122,Little Red Water Lake
150,-82.087049,28.576982,"Gant, Lake and Canal"
639,-81.97633,27.6311,Hardee Lakes FMA
241,-81.513767,28.410383,Little Fish Lake
355,-81.514117,28.422833,Pocket Lake
263,-82.327667,27.21995,Lower Myakka Lake
340,-82.11816,28.79476,"Panasoffkee, Lake"
200,-84.24847,30.63343,"Iamonia, Lake"
291,-83.969220000000007,30.55565,"Miccosukee, Lake"
267,-85.882267,30.2208,"Lullwater, Lake"
282,-85.60729,30.14173,Martin Bayou
459,-83.99595,30.34476,Wacissa River
433,-84.57723,30.41656,"Talquin, Lake"
215,-81.26396,28.72669,"Jessup, Lake"
122,-82.795899,30.41089,Eagle Lake FMA
467,-82.60285,30.193317,Watertown Lake
464,-80.73558,28.14694,"Washington, Lake"
16,-81.60865,28.6091,"Apopka, Lake"
165,-81.84601,28.89771,"Griffin, Lake"
146,-80.87414,28.58903,Fox Lake
112,-81.30735,29.159633,"Dias, Lake"
38,-81.272067,29.032717,Blue Lake
409,-80.868243,28.618315,South Lake
638,-81.259925,29.058197,Cypress Lake
202,-80.081822,26.480792,"Ida, Lake"
332,-80.078481,26.595512,"Osborne, Lake"
74,-80.073681,26.644146,"Clarke, Lake"
350,-80.072266,26.682071,"Pine, Lake"
246,-80.78636,28.066770000000002,Little Lake Sawgrass
230,-81.777786,29.35523,"Kerr, Lake"
419,-81.53715,28.57175,Starke Lake
360,-81.53685,28.56408,"Prima Vista, Lake"
