AOI,Lake,longitude,latitude
Baldwin,Baldwin,-81.3222444884888,28.572503191287314
Bear,Bear,-86.8291608113458,30.863269716444087
Beauclair,Beauclair,-81.66048525835932,28.773603765530808
BigHenderson,Big Henderson,-82.31676847625931,28.840468447912205
Blanche,Blanche,-81.5162235126923,28.48064803625
Butler,Butler,-81.55179880058334,28.48703626255477
Cannon,Cannon,-81.75294515011149,28.03834958549254
Carlton,Carlton,-81.65757739853427,28.759581539078013
Cherry,Cherry,-83.41510109519164,30.615304142473867
Clear,Clear,-80.07047553514607,26.711942323505617
Conway(NorthLobe),Conway (North Lobe),-81.34933615226564,28.47246059184992
Conway(SouthLobe),Conway (South Lobe),-81.34794017486394,28.459062707357695
Crescent,Crescent,-81.50216718541859,29.461134723441408
Cypress,Cypress,-81.32184946231939,28.077713840022987
Doctors,Doctors,-81.73576709998343,30.131103320545694
Dora,Dora,-81.69033573844759,28.790766412615163
Dorr,Dorr,-81.62225656337904,29.001531375838987
Down,Down,-81.5254865169435,28.504190999531595
EastToho,East Tohopekaliga,-81.28490610075174,28.295299178703274
Eloise,Eloise,-81.70310058751417,27.983294744628516
Eustis,Eustis,-81.72737714716862,28.846394950725248
Eustis2,Eustis,-81.2829037830996,28.29427987176306
Fairview,Fairview,-81.40619674802099,28.59289230024506
FloralCity,Floral City,-82.28036759352,28.768116404736
Gator,Gator,-80.17326813619047,26.81407219190476
George,George,-81.59546483553022,29.285094009799565
Grassy,Grassy,-81.77818160903409,27.989898992613636
Griffin,Griffin,-81.84780974148482,28.870929934986748
Haines,Haines,-81.70728657606249,28.092248577533297
Hamilton,Hamilton,-81.65321454159141,28.051338646582288
Harris,Harris,-81.80587730193298,28.768652387992216
Hartridge,Hartridge,-81.74233700096028,28.055468178949972
Hatchineha,Hatchineha,-81.40435951513308,28.024276063691644
Hollingsworth,Hollingsworth,-81.94495060879518,28.023818732771083
Howard,Howard,-81.74418050175896,28.023779563744448
Hunters,Hunters,-82.62025490932533,28.441747323611974
Huntley,Huntley,-81.34217660164298,27.287117769168344
Hurricane,Hurricane,-86.75846121535697,30.940518653206425
Idylwild,Idylwild,-81.75638116682666,28.050487301144567
Istokpoga,Istokpoga,-81.28340530362918,27.375029393503198
IstokpogaWestShore,Istokpoga,-81.31819586773351,27.369268021512937
Jackson(Highlands),Jackson (Highlands),-81.46240128244715,27.490933631957713
Jackson(Leon),Jackson (Leon),-84.32702571724721,30.534989958593265
Jackson(Osceola),Jackson (Osceola),-81.16296658638369,27.908135297607497
Jessie,Jessie,-81.76316444525203,28.05772359750079
Johns,Johns,-81.65265671540529,28.53204956219442
Josephine,Josephine,-81.43799649459358,27.397303927227362
Juliana,Juliana,-81.8029834866542,28.127276910336448
JuneInWinter,June In Winter,-81.39900247182443,27.30414112573963
Karick,Karick,-86.64426433874638,30.896351909057103
Kerr,Kerr,-81.77168010047347,29.35766741242876
KingsBay,Kings Bay,-82.60114474161571,28.88843954254713
Kissimmee,Kissimmee,-81.26415112058658,27.90704422938104
Lawne,Lawne,-81.43811339360947,28.56441860071006
LittleConway,Little Lake Conway,-81.35179314564799,28.48692136668764
LittleFish,Little Fish,-81.51284376781818,28.40981039618182
LittleHamilton,Little Hamilton,-81.63459732439742,28.07153626220531
LittleRedWater,Little Red Water,-81.47262245599597,27.54122219330581
Lochloosa,Lochloosa,-82.12904891273433,29.518282294259848
Louise,Louise,-81.53514365907542,28.477626275905198
Lulu,Lulu,-81.72146995757734,27.996009501915662
Maggiore,Maggiore,-82.65318804248538,27.736824764141335
Maitland,Maitland,-81.35058130852381,28.61690823684127
Mangonia,Mangonia,-80.0756561437542,26.739589040622896
Mann,Mann,-81.42659831995542,28.536439394336718
Mariana,Mariana,-81.76308160307727,28.076014466276927
Miccosukee,Miccosukee,-83.97985479188725,30.56792771023603
MiddleHamilton,Middle Hamilton,-81.6489805060988,28.068748505100775
Minnehaha,Minnehaha,-81.35502788519084,28.631919734961834
Mizell,Mizell,-81.33802104761565,28.593494115409253
Monroe,Monroe,-81.26912892925006,28.838794933548495
Mud,Mud,-81.8430671051078,28.16840483024931
Nina,Nina,-81.35974889727272,28.624674579090907
NorthConway,North Conway,-81.34940192661962,28.472421413555107
Okeeheelee,Okeeheelee,-80.16238789154556,26.658024776119696
Orange,Orange,-82.17992999987591,29.459573378076506
OrangeOpenWater,Orange,-82.18221430268062,29.45882306256177
Osborne,Osborne,-80.07775637796979,26.596009743221476
Osceola,Osceola,-81.34184405130542,28.602460413226602
Palmer,Palmer,-81.52862833414201,28.472413276982248
Panasoffkee,Panasoffkee,-82.12223701038278,28.801667466990228
Parker,Parker,-81.93186400752137,28.06762663200244
Pierce,Pierce,-81.52373329776515,27.97777254393813
Placid,Placid,-81.36344661004249,27.242110246161474
Pocket,Pocket,-81.51304845817869,28.420513004123713
