PERIMETER,NAME,COUNTY,OBJECTID,SHAPEAREA,SHAPELEN
11082.25151,Lake Maitland,ORANGE,1,1818000.097,11082.25089
2834.074075,Black Lake,ESCAMBIA,2,31379.77735,2834.074076
18768.27307,Lake Jackson,HIGHLANDS,3,13601177.12,18768.27376
493.278959,Halfmoon Lake,ESCAMBIA,4,6337.482103,493.2788558
5662.687648,Crescent Lake,ESCAMBIA,5,338242.2337,5662.688705
316.9192297,Blackfish Lake,SANTA ROSA,6,2379.702856,316.9189489
180.8830584,Beaverdam Lake,ESCAMBIA,7,1381.240172,180.8829972
1376.397397,Salters Lake,ESCAMBIA,8,24420.80262,1376.397214
1913.638443,Forty Acre Pond,SANTA ROSA,9,178663.1582,1913.638484
328.363168,Hutson Pond,SANTA ROSA,10,7837.954336,328.3632345
954.9577565,James Thomas Pond,SANTA ROSA,11,39688.78387,954.9584533
1011.993385,R B Squirls Pond,SANTA ROSA,12,22772.74216,1011.993064
386.9616595,Goose Pond,SANTA ROSA,13,9066.93636,386.9615423
1825.118941,Ashton Dead River,SANTA ROSA,14,44087.11304,1825.119924
1949.600746,Lost Boy Pond,OKALOOSA,15,40205.52901,1949.601353
1395.241994,Lake Kennedy,OKALOOSA,16,90302.39252,1395.242074
2520.860162,Upper Memorial Lake,OKALOOSA,17,66286.41174,2520.860426
872.2772866,Corkins Lake,OKALOOSA,18,31660.94394,872.2768307
321.0373749,Cypress Pond,OKALOOSA,19,2373.987607,321.0375282
737.8061875,Walton Pond,OKALOOSA,20,14118.15917,737.8069015
1396.225149,Ward Bay,OKALOOSA,21,122091.7602,1396.22523
7242.763573,Lake Gibson,POLK,22,1983205.789,7242.763066
9194.377147,Lake Fannie,POLK,23,2879972.245,9194.377636
16855.88356,Lake Hamilton,POLK,24,8668137.775,16855.88189
19795.65043,Sellers Lake,LAKE,25,3404289.62,19795.64991
13601.41667,Lake Down,ORANGE,26,3680008.027,13601.41589
18261.1911,Big Sand Lake,ORANGE,27,4131163.668,18261.19276
10085.16342,Spring Garden Lake,VOLUSIA,28,2091307.496,10085.16345
6483.606741,Lake Runnymede,OSCEOLA,29,1340829.578,6483.606965
12975.57511,Lake Gentry,OSCEOLA,30,7281661.23,12975.57351
8809.95306,Theresa Lake,VOLUSIA,31,1207307.962,8809.952904
10354.51825,Little Santa Fe Lake,ALACHUA,32,4666357.782,10354.5188
16652.11749,Reedy Lake,POLK,33,14191961.63,16652.11687
569.7023875,Clay Hole Pond,TAYLOR,34,19044.21203,569.7026572
628.0180491,Dobson Pond,MADISON,35,25533.74003,628.0184141
1804.158962,Loper Pond,MADISON,36,141975.0637,1804.158462
3514.272109,Draper Lake,WALTON,37,154832.5771,3514.272581
1213.468173,Little Redfish Lake,WALTON,38,41929.55861,1213.468167
13817.48942,Western Lake,WALTON,39,879459.851,13817.48824
791.2564383,Punch Bowl Pond,WALTON,40,39363.13089,791.2561457
15552.57002,Juniper Lake,WALTON,41,2249459.79,15552.56974
520.5322941,C J King Junior Pond,WALTON,42,18630.11959,520.5320052
3613.723005,Spring Lake Number One,WALTON,43,618157.9936,3613.722501
840.9270441,Endless Lake,WALTON,44,9877.310155,840.9279766
628.7758234,Big Morrell Lake,WASHINGTON,45,8234.933628,628.7753116
899.9707492,Lost Lake,WALTON,46,12609.71936,899.9711413
366.3638048,Bonnet Pond,HOLMES,47,8716.476118,366.3636508
740.6333483,Sand Pond,HOLMES,48,32131.04704,740.6334779
733.6735708,Chapman Lake,HOLMES,49,12731.55125,733.6738031
811.113339,Mill Pond,HOLMES,50,12084.98937,811.1140173
935.7759493,Cooney Pond,HOLMES,51,34016.35358,935.776354
1034.833974,Carl Pond,WASHINGTON,52,62836.96082,1034.834365
530.1499375,Duck Pond,HOLMES,53,13426.18993,530.1500977
301.5942211,Little Brushy Pond,WASHINGTON,54,6158.896942,301.5938085
529.0671116,Anderson Pond,WASHINGTON,55,9478.350072,529.0680296
3565.185563,Court Martial Lake,BAY,56,947244.1096,3565.185329
1043.273262,Tanyard Pond,WASHINGTON,57,31625.81695,1043.273461
443.7059433,Bonnet Pond,WASHINGTON,58,13194.14785,443.7056882
752.0023208,Parish Pond,WASHINGTON,59,25286.70555,752.0025361
2293.013256,Johnson Bayou,BAY,60,103535.9151,2293.015041
2997.125295,Grassy Lake,WASHINGTON,61,214697.9768,2997.125921
2608.960781,Roach Lake,WASHINGTON,62,156317.983,2608.960742
644.0136919,Crooked Pond,WASHINGTON,63,20001.94644,644.0134121
923.7979647,Swindle Lake,WASHINGTON,64,21052.18034,923.7979669
1061.463346,Sheep Pen Pond,WASHINGTON,65,60878.41193,1061.464167
694.9325995,Gainer Pond,BAY,66,27227.13449,694.9336702
1417.630404,Surveyor Pond,WASHINGTON,67,77061.88337,1417.630532
6905.207963,Wages Pond,WASHINGTON,68,583019.218,6905.20988
25363.96403,Tiller Mill Lake,WASHINGTON,69,1868298.922,25363.96783
108149.9097,Deer Point Lake,BAY,70,18361768.21,108149.9078
106525.6153,Lake Iamonia,LEON,71,21493562.66,106525.6154
7475.418178,Alford Arm,LEON,72,1110721.932,7475.419111
12298.79758,Sampala Lake,MADISON,73,1832265.544,12298.79703
29388.60665,Kings Bay,CITRUS,74,1952740.177,29388.60635
32543.01947,Lake Panasoffkee,SUMTER,75,13186814.76,32543.02124
10189.9367,Ocean Pond,BAKER,76,7298921.027,10189.93705
8510.69056,Watson Prairie,ALACHUA,77,1452464.102,8510.689787
330469.3681,The Cutoff,MONROE,78,11942379.32,330469.3738
