OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA,FAOL_GNIS_,FAOL_REACH,FAOL_WBODY,FAOL_WATER,FAOL_COUNT,FAOL_OLD_W,FAOL_ATLAS
405009,{3F4DCAD5-271C-42BB-9A1C-A92AE5E08711},11/30/16,2,,,0.02351585,0,3.0802E+12,436,43617,100000,0.009055879,2.14845E-06,Jean,0,0,0,0,,3.0802E+12,1002795,"Jean, Lake",St. Lucie,,FAOL
405029,{EE4E19F8-F3CD-42BE-9817-6EE31F214D9E},11/30/16,2,,,0.02061424,0,3.0802E+12,436,43617,100000,0.006402786,1.88328E-06,Dolores,0,0,0,0,,3.0802E+12,1002754,"Dolores, Lake",St. Lucie,,FAOL
405065,{3EE10EAC-FB84-41CD-A883-633BD90EEED9},11/30/16,2,,,0.03547033,0,3.0802E+12,436,43617,250000,0.010405162,3.24042E-06,Ann,0,0,0,0,,3.0802E+12,1002711,"Ann, Lake",St. Lucie,,FAOL
405100,{DEAC1843-9D00-4A6C-A2CF-C96B750CBFF7},11/30/16,2,,,0.0142246,0,3.0802E+12,436,43617,100000,0.005254395,1.29975E-06,Karen,0,0,0,0,,3.0802E+12,1002801,"Karen, Lake",St. Lucie,,FAOL
408890,{6D8A9737-E3E7-4238-B571-BA195DAD6B61},6/12/17,2,291925,Swan Lake,1.52504466,0,3.0801E+12,390,39004,2000000,0.045615739,0.000142201,Swan,0,0,0,0,291925,3.0801E+12,1001882,Swan Lake,Putnam,,FAOL
408891,{05ED7C66-ED47-423E-B58C-E727153F53C5},6/12/17,2,283624,Hall Lake,0.75409296,0,3.0801E+12,390,39004,1000000,0.079748413,7.0364E-05,Hall,0,0,0,0,283624,3.0801E+12,1000865,Hall Lake,Clay,,FAOL
410370,{29EDC02D-3BBF-4F38-9085-FD20BD922538},2/20/18,2,,,0.08716635,0,3.0801E+12,436,43600,250000,0.014904203,8.07989E-06,Pine,0,0,0,0,,FCP1200003560,1002920,Pine Lake,Volusia,,FAOL
411810,{C6FFD818-70F8-4443-AE69-B725E87C95BE},8/23/18,2,,,0.00510958,0,3.09021E+12,436,43600,100000,0.004893418,4.657E-07,PSL Botanical Gardens,0,0,0,0,,FCP1200003561,1002921,PSL Botanical Gardens,St. Lucie,,FAOL
413396,{36C5AA6F-282D-43DF-B706-228CA2DD8C9E},10/5/18,2,,,0.1569593,0,3.10021E+12,390,39004,500000,0.021604053,1.44628E-05,Mountain,0,0,0,0,287371,3.10021E+12,1001372,Mountain Lake,Hernando,,FAOL
417430,{C085735E-2A8A-49C3-B208-A37ACA8FE041},11/2/18,2,283008,Lake Gem,0.03328933,70,3.0801E+12,390,39009,250000,0.006684004,3.07124E-06,Gem,0,0,0,0,,FCP1209500012,140210,"Gem, Lake",Orange,,ORANGE
417431,{60DC2FBD-148A-4E50-8F22-C10886E2B858},11/2/18,2,298077,The Lagoon,0.17092629,0,3.0801E+12,390,39004,500000,0.017639447,1.58177E-05,Blue Springs Lagoon,0,0,0,0,298077,3.0801E+12,220130,"Lagoon, The",Volusia,,VOLUSIA
421491,{74BB4022-2533-4A9D-AE8C-7D74864CFF97},2/12/19,2,,,0.21345088,0,,390,39001,500000,0.021647554,1.99216E-05,Johnson,0,0,0,0,307133,3.0801E+12,1002623,Big Lake Johnson,Clay,,FAOL
422640,112027879,9/10/09,2,286221,Lake Lurna,0.03,26.8,3.0901E+12,390,39009,250000,0.006542607,2.76767E-06,Lurna,0,0,0,0,286221,3.0901E+12,140311,"Lurna, Lake",Orange,,ORANGE
422741,112041999,10/19/13,2,288797,Lake Pierce,15.60450793,23.2,3.0901E+12,390,39009,5000000,0.301940463,0.001431272,Pierce,0,0,0,0,288797,3.0901E+12,160652,"Pierce, Lake",Polk,652,POLK
423286,112029141,7/10/13,2,279743,Lake Butler,7.02176927,29.9,3.0901E+12,390,39009,2000000,0.186627774,0.000647069,Little Wauseon Bay,0,0,0,0,281739,FCP1209500004,140596,Wauseon Bay,Orange,,ORANGE
423286,112029141,7/10/13,2,279743,Lake Butler,7.02176927,29.9,3.0901E+12,390,39009,2000000,0.186627774,0.000647069,Little Wauseon Bay,0,0,0,0,281739,FCP1209500055,140116,"Butler, Lake",Orange,,ORANGE
423345,112043045,11/20/03,2,,,0.068,0,3.0901E+12,390,39004,250000,0.009163749,6.21942E-06,Little Aurora,0,0,0,0,,3.0901E+12,161265,Little Aurora Lake,Polk,1265,POLK
423427,c3aa4be1-a57b-47a6-8389-edde0c50422f,7/10/13,2,281739,Lake Down,3.68000794,29.9,3.0901E+12,390,39009,2000000,0.130468206,0.000339171,Little Down,0,0,0,0,281739,FCP1209500005,140597,"Down, Lake",Orange,,ORANGE
423427,c3aa4be1-a57b-47a6-8389-edde0c50422f,7/10/13,2,281739,Lake Down,3.68000794,29.9,3.0901E+12,390,39009,2000000,0.130468206,0.000339171,Little Down,0,0,0,0,281739,FCP1209500056,151869,Little Lake Down,Orange,,ORANGE
423448,112042861,9/10/09,2,292828,Lake Wales,1.213,34.1,3.0901E+12,390,39009,1000000,0.048770358,0.000111201,Wales,0,0,0,0,292828,3.0901E+12,161104,"Wailes, Lake",Polk,1104,POLK
423543,112038173,8/19/13,2,279374,Brick Lake,2.59418455,19.5,3.0901E+12,390,39009,2000000,0.070320792,0.000238355,Brick,0,0,0,0,279374,3.0901E+12,1000268,Brick Lake,Osceola,,FAOL
423763,112050187,9/9/14,2,280072,Lake Carrie,0.27669243,23.2,3.0901E+12,390,39009,500000,0.019635786,2.52335E-05,Carrie,0,0,0,0,280072,3.0901E+12,1000368,"Carrie, Lake",Highlands,,FAOL
423779,112028015,9/10/09,2,286412,Lake Margaret,0.043,25.3,3.0901E+12,390,39009,250000,0.007463811,3.92151E-06,Margaret,0,0,0,0,286412,3.0901E+12,140319,"Margaret, Lake",Orange,,ORANGE
423816,112027807,11/20/03,2,,,0.021,0,3.0901E+12,390,39004,250000,0.005281594,1.9551E-06,Lucerne East,0,0,0,0,,3.0901E+12,140305,"Lucerne, Lake",Orange,,ORANGE
423831,112050573,11/20/03,2,,,0.211,0,3.0901E+12,390,39004,500000,0.01661579,1.92449E-05,August,0,0,0,0,,3.0901E+12,1002717,"August, Lake",Highlands,,FAOL
423836,112045847,9/10/09,2,291747,Lake Streety,1.31,32,3.0901E+12,390,39009,2000000,0.042623506,0.000119863,"Streety, Lake",425,0,0,0,291747,3.0901E+12,161846,"Streety, Lake",Polk,1846,POLK
423906,112047597,9/9/14,2,283112,Lake Glenada,0.73421379,35.1,3.0901E+12,390,39009,1000000,0.044205943,6.70925E-05,Glenada,0,0,0,0,283112,3.0901E+12,1000787,"Glenada, Lake",Highlands,,FAOL
