AreaOfInterest,AreaOfInterestID,GNISID,PermanentID,ShapeSource,ctrl_old,ctrl_new,plants
"Iamonia, Lake",200,284452,10361818,FDEP,1,1,1
Banana Lake,25,278076,16798757,FDEP,1,1,1
Rodman Reservoir,371,NA,120053782,FDEP,1,1,1
"Hiawatha, Lake",185,283936,16632810,FDEP,1,1,1
"Buffum, Lake",52,279626,16799991,FDEP,1,1,1
"Lotela, Lake",257,286124,21480832,FDEP,1,1,1
Fox Lake,146,282770,10990523,FDEP,1,1,1
"Gatlin, Lake",153,282967,21472978,FDEP,1,1,1
"Seminole, Lake (Fl Section)",395,NA,10361596,FDEP,1,1,1
Starke Lake,419,291635,10995273,FDEP,1,1,1
"Prima Vista, Lake",360,NA,10995363,FDEP,0,1,1
Puzzle Lake,361,289390,10994087,FDEP,0,1,1
Paynes Prairie,862,300408,16626432,FDEP,0,1,0
Ocheesee Pond,324,NA,120053175,FDEP,0,1,1
Western Lake,477,293134,2180073,FDEP,0,1,1
"Stanley, Lake",417,291619,2242703,FDEP,0,0,1
