AreaOfInterest,AreaOfInterestID,GNISID,PermanentID,ShapeSource,ctrl_old,ctrl_new,plants
Merritt's Mill Pond,290,286737,85826380,NHD,1,1,1
"Talquin, Lake",433,306480,129952717,NHD,1,1,1
"Munson, Lake",311,306093,129755779,NHD,1,1,1
"Miccosukee, Lake",291,286773,129753569,NHD,1,1,1
Snead's Smokehouse,407,291300,127396510,NHD,1,1,1
"Francis, Lake",148,282782,133703477,NHD,1,0,1
"Tarpon, Lake",435,292049,68792760,NHD,1,1,1
Montgomery Lake FMA,305,294414,113624181,NHD,1,1,1
Alligator Lake,8,NA,166104490,NHD,1,1,1
Watertown Lake,467,NA,{8E479623-640F-4F33-AA76-318F7AE43568},NHD,1,1,1
"Rousseau, Lake",374,290015,68038611,NHD,1,1,1
"Saddleback, Lake",975,290118,68788702,NHD,1,1,0
Palestine Lake,338,306189,134188141,NHD,1,1,1
"Lindsey, Lake",240,285564,68039931,NHD,1,1,1
"Butler, Lake",56,279740,113627477,NHD,1,1,1
"Tsala Apopka, Lake",451,294179,68037541,NHD,1,1,1
"Thonotosassa, Lake",442,294174,41988831,NHD,1,1,1
"Weeks, Lake",471,292993,41957577,NHD,1,1,1
Orange Lake,330,288216,112615464,NHD,1,1,1
Sampson Lake,383,290460,113641339,NHD,1,1,1
Rowell Lake,375,290019,113641533,NHD,1,1,1
Ed Medard Reservoir,129,NA,51890509,NHD,1,1,1
"Alto, Lake",11,307655,113647923,NHD,1,1,1
"Panasoffkee, Lake",340,294114,68089519,NHD,1,1,1
"Gant, Lake and Canal",150,278674,68053115,NHD,1,1,1
Holdens Pond,189,284137,167769035,NHD,1,1,1
Little Orange Lake,249,285749,{5BCE6D3C-737E-4F03-81D2-BDDDEF2B4E7C},NHD,1,1,1
Moss Lee Lake,308,287176,112635658,NHD,1,1,1
Santa Fe Lake,384,290657,113638769,NHD,1,1,1
"Okahumpka, Lake",326,288069,{AF8EB5A2-08FD-49CA-8C33-3D95830ECA6F},NHD,1,1,1
"Deaton, Lake",105,281407,68038947,NHD,1,1,1
"Hunter, Lake",197,284407,41960329,NHD,1,1,1
"Gibson, Lake",160,283058,78642503,NHD,1,1,1
"Weir, Lake",472,306567,112626502,NHD,1,1,1
"John Wood, Lake",216,284847,78690641,NHD,1,1,1
"Parker, Lake",342,288524,78690613,NHD,1,1,1
"Bonny, Lake",46,279245,78690621,NHD,1,1,1
"Ella, Lake",1421,282166,68029649,NHD,1,0,0
Tenoroc Pits,439,NA,78642529,NHD,1,1,1
"Eaton, Lake",124,305619,112614608,NHD,1,1,1
"Jumper, Lake",224,305884,{6077C558-3B40-40E1-8229-9C8CF7C1CCA6},NHD,1,0,1
"Griffin, Lake",165,305765,167179686,NHD,1,1,1
Georges Lake,159,283032,125958327,NHD,1,1,1
Mud Lake,310,287403,68083645,NHD,1,1,1
"Hancock, Lake",174,283683,78690645,NHD,1,1,1
"Agnes, Lake",2,277698,68083775,NHD,1,1,1
"Cherry, Lake",70,280361,167180956,NHD,1,1,1
"Ariana, Lake",20,277946,78592241,NHD,1,1,1
Ft. Meade Pits,149,NA,78641041,NHD,1,1,1
"Harris, Lake",177,294031,120024301,NHD,1,1,1
"Palatlakaha, Lake",337,288384,167178835,NHD,1,1,1
"Kerr, Lake",230,305905,107881209,NHD,1,1,1
Crescent Lake,87,281038,167181006,NHD,1,1,1
Delancey Lake,109,305566,107775717,NHD,1,1,1
Deer Lake,106,281459,78592049,NHD,1,1,1
Eagle Lake,121,281921,78690649,NHD,1,1,1
"Jessie, Lake",214,284779,78591531,NHD,1,1,1
"Idylwild, Lake",203,284467,{8CA53379-C722-4F82-BBE7-2015FC918800},NHD,1,1,1
Cannon Lake,59,279989,78690623,NHD,1,1,1
"McLeod, Lake",289,286641,78690667,NHD,1,1,1
"Howard, Lake",194,284352,78690629,NHD,1,1,1
"Alfred, Lake",7,277744,78690599,NHD,1,1,1
"Hartridge, Lake",179,283788,78690617,NHD,1,1,1
"Shipp, Lake",400,291058,78690635,NHD,1,1,1
"Mirror, Lake",302,286985,78686287,NHD,1,1,1
"May, Lake",286,286540,78686365,NHD,1,1,1
"Spring, Lake",412,291545,78686293,NHD,1,1,1
"Garfield, Lake",152,282940,78690681,NHD,1,1,1
"Yale, Lake",488,306620,112613946,NHD,1,1,1
"Eustis, Lake",138,282276,112683438,NHD,1,1,1
Swoope Lake,432,291973,78686067,NHD,1,1,1
"Rochelle, Lake",368,289806,78686169,NHD,1,1,1
"Martha, Lake",281,286466,78686317,NHD,1,1,1
"Conine, Lake",80,280711,78686223,NHD,1,1,1
"Lulu, Lake",268,286210,78690651,NHD,1,1,1
Smart Lake,405,291238,78686221,NHD,1,1,1
Holly Lake,191,305825,112690712,NHD,1,1,1
"Elbert, Lake",130,282136,78686329,NHD,1,1,1
"Haines, Lake",168,283592,78686099,NHD,1,1,1
"Roy, Lake",376,290023,78690639,NHD,1,1,1
"Eloise, Lake",135,282184,78690665,NHD,1,1,1
"Mariam, Lake",277,286418,78686379,NHD,1,1,1
"Summit, Lake",426,291809,78690647,NHD,1,1,1
"Surveyors, Lake",427,291898,78583051,NHD,1,1,1
"Fannie, Lake",141,282375,78686241,NHD,1,1,1
"Gator, Lake",154,282986,78582149,NHD,1,1,1
Trout Lake,449,292480,112689108,NHD,1,1,1
"Dora, Lake",117,281681,112683506,NHD,1,1,1
"Ned, Lake",315,287566,78690655,NHD,1,1,1
"Daisy, Lake",97,281260,78690653,NHD,1,1,1
Johns Lake,217,284856,112683814,NHD,1,1,1
"Carlton, Lake",60,280047,167177231,NHD,1,1,1
"Beauclair, Lake",28,278356,167177234,NHD,1,1,1
"Hamilton, Lake",172,283642,78686183,NHD,1,1,1
"Tracy, Lake",447,292392,78686025,NHD,1,1,1
Eva Lake,139,294617,78690605,NHD,1,1,1
"Dorr, Lake",118,305590,107775203,NHD,1,1,1
"Apopka, Lake",16,293912,112615520,NHD,1,1,1
"Wales, Lake",461,292828,112042861,NHD,1,1,1
Crooked Lake,90,293976,112043901,NHD,1,1,1
"Olivia, Lake",329,288149,112046551,NHD,1,1,1
"Norris, Lake",320,306117,107775305,NHD,1,1,1
Wauseon Bay,469,279743,112029141,NHD,1,1,1
"Butler, Lake",55,279743,112029141,NHD,1,1,1
"Down, Lake",119,281739,c3aa4be1-a57b-47a6-8389-edde0c50422f,NHD,1,1,1
"Marion, Lake",280,286432,112041231,NHD,1,1,1
"Pierce, Lake",349,288797,112041999,NHD,1,1,1
"Sheen, Lake",396,290953,112030525,NHD,1,1,1
"Livingston, Lake",253,285891,112045629,NHD,1,1,1
"Stella, Lake",422,295019,125973915,NHD,1,1,1
"Glenada, Lake",162,283112,112047597,NHD,1,1,1
"Lelia, Lake",237,285451,112047407,NHD,1,1,1
Lower Lake Louise,262,286168,107775869,NHD,1,1,1
"Viola, Lake",456,292777,112046749,NHD,1,1,1
Pioneer Lake,351,288982,112046617,NHD,1,1,1
"Sebring, Lake",391,290807,112048259,NHD,1,1,1
"Jackson, Lake",209,284682,112049059,NHD,1,1,1
"Red Water, Lake",365,285771,112047993,NHD,1,0,1
Letta Lake,239,285472,112047587,NHD,1,1,1
"Bonnet, Lake",44,279214,112634404,NHD,1,1,1
Josephine Creek,220,284942,112049879,NHD,1,1,1
"Josephine, Lake",221,284942,112049879,NHD,1,1,1
"Carrie, Lake",62,280072,112050187,NHD,1,1,1
"Hatchineha, Lake",180,294032,112041581,NHD,1,1,1
"Russell, Lake",633,290080,112040099,NHD,1,1,0
"Arbuckle, Lake",19,277931,112045497,NHD,1,1,1
"Disston, Lake",115,281592,125973926,NHD,1,1,1
"Francis, Lake",147,282784,112050171,NHD,1,1,1
"Tohopekaliga, Lake",476,292327,112039563,NHD,1,1,1
"Weohyakapka, Lake",475,294192,120024290,NHD,1,1,1
"Rosalie, Lake",372,289953,112042409,NHD,1,1,1
"Jessamine, Lake",213,284776,112028505,NHD,1,1,1
"June-In-Winter, Lake",225,284976,112050499,NHD,1,1,1
"Henry, Lake",184,283916,112050233,NHD,1,1,1
"Tiger, Lake",445,295814,112042775,NHD,1,1,1
Clay Lake,75,280516,112050297,NHD,1,1,1
Fish Lake,143,282485,112035961,NHD,1,1,1
"Huntley, Lake",198,284412,112050445,NHD,1,1,1
"Conway, Lake",81,280728,112028653,NHD,1,1,1
Cypress Lake,96,281219,112040787,NHD,1,1,1
"Dias, Lake",112,281551,125973930,NHD,1,1,1
"Istokpoga, Lake",206,284635,120024294,NHD,1,1,1
East Lake Tohopekaliga,123,2082902,112035523,NHD,1,1,1
Blue Lake,38,279038,125971330,NHD,1,1,1
Miller Lake,295,286920,125971432,NHD,1,1,1
"Gleason, Lake",161,283108,107805517,NHD,1,1,1
"Kissimmee, Lake",233,295796,120024288,NHD,1,1,1
South Lake Talmadge,410,298074,125971327,NHD,1,1,1
North Lake Talmadge,321,298076,125971322,NHD,1,1,1
"Runnymede, Lake",378,290057,112035913,NHD,1,1,1
"Gentry, Lake",157,283023,112039679,NHD,1,1,1
"McGarity, Lake",287,286613,164161235,NHD,1,0,1
"Hart, Lake",178,283786,112031311,NHD,1,1,1
Alligator Lake,9,277794,112037599,NHD,1,1,1
"Center, Lake",64,280245,112034921,NHD,1,1,1
"Mary Jane, Lake",283,286482,112031063,NHD,1,1,1
"Jackson, Lake",211,284691,112042187,NHD,1,1,1
"Ashby, Lake",21,277968,107776069,NHD,1,1,1
"Marian, Lake",278,286420,120024286,NHD,1,1,1
Ruth Lake,379,294134,107835897,NHD,1,1,1
Clark Lake,73,293968,{A60D17C3-54B1-4D39-9CF8-C7C067AC9C95},NHD,1,1,1
Salt Lake,381,290436,107712397,NHD,1,1,1
South Lake,409,291391,107777641,NHD,1,1,1
"Winder, Lake",482,293400,107805437,NHD,1,1,1
"Poinsett, Lake",356,289112,107805369,NHD,1,1,1
"Okeechobee, Lake",327,307550,120024129,NHD,1,1,1
"Hellen-Blazes, Lake",183,307091,107736253,NHD,1,1,1
"Sawgrass, Lake",389,290715,164160422,NHD,1,1,1
Blue Cypress Lake,37,307443,107791825,NHD,1,1,1
"Washington, Lake",464,292914,107805541,NHD,1,1,1
"Ida, Lake",202,284458,138370141,NHD,1,1,1
"Osborne, Lake",332,288259,138369423,NHD,1,1,1
"Clarke, Lake",74,280498,138368976,NHD,1,1,1
"Pine, Lake",350,NA,138368540,NHD,1,1,1
"Jackson, Lake",210,284694,129952177,NHD,1,1,1
Carr Lake,61,280066,129951347,NHD,1,1,1
"Hall, Lake",170,283627,129951937,NHD,1,1,1
Suwannee Lake FMA,429,NA,99329629,NHD,1,1,1
Peacock Lake,346,288620,99336803,NHD,1,1,1
Hunter's Lake,196,284410,58710015,NHD,1,1,1
Watermellon Pond,465,292934,114437067,NHD,1,0,1
"Wood, Lake",1315,293493,68758820,NHD,1,0,0
Mountain Lake,309,NA,{36C5AA6F-282D-43DF-B706-228CA2DD8C9E},NHD,1,1,1
Upper Myakka Lake,454,287499,{73C3EE2E-6D6B-4E7C-85E7-5EC36995AD30},NHD,1,1,1
"Lochloosa, Lake",255,294060,120024471,NHD,1,1,1
Johnson Lake,218,284880,112698978,NHD,1,1,1
"Denham, Lake",110,281501,112683514,NHD,1,1,1
"Cook, Lake",82,280734,167178897,NHD,1,1,1
"Juliana, Lake",222,284964,68087837,NHD,1,1,1
"Wilson, Lake",480,293379,167178898,NHD,1,1,1
"Mattie, Lake",284,286526,68087831,NHD,1,1,1
"Blue, Lake",40,279079,78592009,NHD,1,1,1
"Minneola, Lake",299,294087,120024321,NHD,1,1,1
"Winona, Lake",483,293414,112683812,NHD,1,1,1
"Mariana, Lake",279,286421,78591457,NHD,1,1,1
"Minnehaha, Lake",297,286961,167178896,NHD,1,1,1
"Pansy, Lake",341,288455,78686199,NHD,1,1,1
Ella Lake,132,305629,112690706,NHD,1,1,1
"Winterset, Lake",484,293430,78622001,NHD,1,1,1
"Clinch, Lake",77,294405,112044667,NHD,1,1,1
"Louise, Lake",261,286141,120024234,NHD,1,1,1
"Tibet, Lake",443,292259,112029645,NHD,1,1,1
"Reedy, Lake",366,307559,112044405,NHD,1,1,1
"Isabell, Lake",204,284603,112046067,NHD,1,1,1
"Colby, Lake",78,280637,107778427,NHD,1,0,1
Loughman Lake,259,294062,107777621,NHD,1,1,1
Hurricane Lake FMA,199,305849,120023966,NHD,1,1,1
Karick Lake FMA,229,305895,40981775,NHD,1,1,1
Juniper Lake FMA,227,284998,63033541,NHD,1,1,1
"Lullwater, Lake",267,NA,122170680,NHD,1,1,1
Martin Bayou,282,286469,122184244,NHD,1,1,1
Deer Point Lake,107,281453,122162436,NHD,1,1,1
Lafayette Lake,615,NA,{790E86A0-1C71-49A6-83B2-F882C827E5E7},NHD,1,1,1
Mystic Lake,313,287516,127397552,NHD,1,1,1
Eagle Lake FMA,122,NA,134532013,NHD,1,1,0
Moon Lake,307,287088,58678095,NHD,1,1,1
McKethan Lake,288,286631,68039793,NHD,1,1,1
Bystre,57,279780,68048583,NHD,1,0,1
Middle Lake,292,286804,58705443,NHD,1,1,1
"Wauberg, Lake",468,292948,112698806,NHD,1,1,1
"Newnan, Lake",318,294429,112699096,NHD,1,1,1
Lowery Lake FMA,264,308453,125973857,NHD,1,1,1
Crystal and Blue Lakes,614,305339,112622554,NHD,1,1,0
Carter Road,627,NA,51896519,NHD,1,1,0
Grady Lake,625,NA,51901949,NHD,1,1,0
"Hollingsworth, Lake",190,284163,78643057,NHD,1,1,1
"Deeson, Lake",108,281469,68085027,NHD,1,1,1
"Crystal, Lake",95,281121,78643427,NHD,1,1,1
"David, Lake",100,281315,68058411,NHD,1,1,1
"Lucy, Lake",266,286205,112688448,NHD,1,1,1
"Emma, Lake",136,282203,167799219,NHD,1,1,1
"Stewart, Lake",423,291693,{CAE80ADB-472F-42E6-AA6C-4E612D04F854},NHD,1,1,1
"Bryant, Lake",50,305389,167753323,NHD,1,1,1
"Hunt, Lake",195,280361,167180956,NHD,1,1,1
Crystal Springs FMA,618,NA,{A4BF1642-F171-4D34-AA68-6C64CCDEED44},NHD,1,1,0
"Lena, Lake",238,285460,78591485,NHD,1,1,1
"Tennessee, Lake",438,292124,68083711,NHD,1,1,1
"Thomas, Lake",441,292207,78592069,NHD,1,1,1
Grassy Lake,628,283322,78597813,NHD,1,1,1
"Sears, Lake",390,290799,78591697,NHD,1,1,1
"Susan, Lake",428,291900,167181005,NHD,1,1,1
"Echo, Lake",125,282073,78686159,NHD,1,1,1
Louisa Lake,260,286136,112683926,NHD,1,1,1
