AOI,Lake,longitude,latitude,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA,ShapeSource
Baldwin,Baldwin,-81.32224449,28.57250319,147631,107807541,6/26/13,2,280865,Lake Corrine,0.79256709,91,3.0801E+12,390,39009,1000000,0.031460673,7.30938E-05,Baldwin,0,0,0,0,Lakewatch_FWC_control_plants_quality
Bear,Bear,-86.82916081,30.86326972,530068,40518825,5/20/15,2,278336,Bear Lake,0.43017362,0,3.1401E+12,390,39004,1000000,0.047413314,4.05695E-05,Bear Lake,27,0,0,0,Lakewatch_FWC_control_plants_quality
Beauclair,Beauclair,-81.66048526,28.77360377,143330,167177234,5/28/20,2,278356,Lake Beauclair,4.55694657,0,3.0801E+12,390,39000,5000000,0.115778935,0.00042105,"Beauclair, Lake",28,0,0,0,Lakewatch_FWC_control_plants_quality
BigHenderson,Big Henderson,-82.31676848,28.84046845,8554,167473948,9/9/09,2,283895,Henderson Lake,1.709,39,3.10021E+12,390,39009,5000000,0.12553348,0.000157971,Henderson,0,0,0,0,Lakewatch_FWC_control_plants_quality
Blanche,Blanche,-81.51622351,28.48064804,427494,112028991,7/10/13,2,278976,Lake Blanche,0.51154421,29.9,3.0901E+12,390,39009,1000000,0.028094492,4.71364E-05,Blanche,0,0,0,0,Lakewatch_FWC_control_plants_quality
Butler,Butler,-81.5517988,28.48703626,423286,112029141,7/10/13,2,279743,Lake Butler,7.02176927,29.9,3.0901E+12,390,39009,2000000,0.186627774,0.000647069,Little Wauseon Bay,0,0,0,0,Lakewatch_FWC_control_plants_quality
Cannon,Cannon,-81.75294515,28.03834959,56083,78690623,8/24/12,2,279989,Lake Cannon,1.34420531,0,3.1001E+12,390,39004,2000000,0.039740547,0.00012336,Cannon,0,0,0,0,Lakewatch_FWC_control_plants_quality
Carlton,Carlton,-81.6575774,28.75958154,147781,167177231,5/28/20,2,280047,Lake Carlton,1.5309533,0,3.0801E+12,390,39000,2000000,0.046980231,0.000141438,Carlton,0,0,0,0,Lakewatch_FWC_control_plants_quality
Cherry,Cherry,-83.4151011,30.61530414,549372,133703081,4/24/20,2,,,1.94023647,0,3.1102E+12,390,39000,2000000,0.049755955,0.000182522,Cherry Lake,69,0,0,0,Lakewatch_FWC_control_plants_quality
Clear,Clear,-80.07047554,26.71194232,448156,{A3735E25-187D-4F8A-B000-A1F40E84A342},2/5/15,2,280527,Clear Lake,1.62623222,0,3.09021E+12,390,39004,2000000,0.096392008,0.000147501,,,,,,FL_NHD_Waterbody_merge
