CoordSource,AreaOfInterest,AreaOfInterestID,County,GNISID_LW,SA_LW_hec,latitude,longitude,OBJECTID,PermanentID,FDate,Resolution,GNISID,GNISName,Area_SqKm,Elevation,ReachCode,FType,FCode,Visibility,ShapeLength,ShapeArea,JoinNotes,ShapeSource,wkt_geom
FWC,Geneva Lake,156,,NA,NA,29.76989,-82.01323,127738,125957328,9/10/09,2,283018,Lake Geneva,3.132,0,3.08E+12,390,39004,2000000,0.099046562,0.00029219,"Lake Geneva is broken up into multiple waterbodies in the NHD dataset, but one waterbody in the FDEP Dataset. Looks like multiple in Google Maps. Added biggest (not closest) waterbody from NHD Dataset.",NHD,"MultiPolygon (((-82.01322999999999297 29.77024932611365671, -82.01314924060650924 29.77024242173860813, -82.01307158478360293 29.77022197394751757, -82.01300001682834306 29.77018876854547713, -82.01293728707547359 29.77014408160937009, -82.01288580620065716 29.77008963044712075, -82.01284755257857739 29.77002750760039618, -82.0128239962561878 29.76996010042724805, -82.01281604246231893 29.76988999935549884, -82.01282399682447988 29.76981989833281261, -82.01284755362861745 29.76975249129937851, -82.0128858075726157 29.76969036866174889, -82.01293728856046528 29.76963591774613249, -82.0130000182002874 29.7695912310566726, -82.01307158583362877 29.76955802586372357, -82.01314924117480132 29.76953757821235058, -82.01322999999999297 29.76953067388635787, -82.01331075882517041 29.76953757821235058, -82.01338841416632874 29.76955802586372357, -82.01345998179967012 29.7695912310566726, -82.01352271143949224 29.76963591774613249, -82.01357419242737024 29.76969036866174889, -82.01361244637134007 29.76975249129937851, -82.01363600317550606 29.76981989833281261, -82.01364395753763858 29.76988999935549884, -82.01363600374378393 29.76996010042724805, -82.01361244742138012 29.77002750760039618, -82.01357419379931457 29.77008963044712075, -82.01352271292448393 29.77014408160937009, -82.01345998317161445 29.77018876854547713, -82.0133884152163688 29.77022197394751757, -82.01331075939346249 29.77024242173860813, -82.01322999999999297 29.77024932611365671)))"
FWC,Mystic Lake,313,,NA,NA,30.48141,-83.44741,484666,127397552,10/15/04,2,287516,Mystic Lake,0.189,32,3.11E+12,390,39009,500000,0.02449003,1.77E-05,coordinates far from lake,NHD,"MultiPolygon (((-83.44741000000000497 30.4817693261136391, -83.44732865652561316 30.48176242173787998, -83.44725043906885276 30.48174197394476792, -83.44717835351113422 30.48170876853969347, -83.4471151700790017 30.48166408160001595, -83.44706331688294654 30.48160963043417837, -83.44702478660559564 30.48154750758441978, -83.4470010599249008 30.48148010040925371, -83.44699304861545386 30.48140999933678685, -83.44700106051388389 30.48133989831481117, -83.44702478769394816 30.48127249128340566, -83.44706331830492729 30.48121036864880296, -83.44711517161813674 30.4811559177367748, -83.44717835493311497 30.48111123105088893, -83.44725044015719106 30.48107802586097748, -83.44732865711462466 30.48105757821162953, -83.44741000000000497 30.48105067388635092, -83.44749134288538528 30.48105757821162953, -83.44756955984280467 30.48107802586097748, -83.44764164506686654 30.48111123105088893, -83.4477048283818732 30.4811559177367748, -83.44775668169508265 30.48121036864880296, -83.44779521230606179 30.48127249128340566, -83.44781893948609763 30.48133989831481117, -83.44782695138452766 30.48140999933678685, -83.44781894007510914 30.48148010040925371, -83.44779521339440009 30.48154750758441978, -83.44775668311704919 30.48160963043417837, -83.44770482992100824 30.48166408160001595, -83.44764164648886151 30.48170876853969347, -83.44756956093112876 30.48174197394476792, -83.44749134347436836 30.48176242173787998, -83.44741000000000497 30.4817693261136391)))"
FWC,Peacock Lake,346,,NA,NA,30.2448,-82.89744,513376,99336803,9/1/15,2,288620,Peacock Lake,0.54312765,0,3.11E+12,390,39004,1000000,0.044751664,5.09E-05,coordinates far from lake,NHD,"MultiPolygon (((-82.89744000000000312 30.24515932611365443, -82.8973588530821246 30.24515242173812624, -82.89728082462792713 30.24513197394568564, -82.89720891325519858 30.24509876854162727, -82.8971458824964742 30.2450540816031328, -82.89709415459498132 30.24499963043849959, -82.89705571741843926 30.24493750758976063, -82.89703204806717451 30.24487010041525892, -82.8970240561130538 30.24479999934304431, -82.8970320486492227 30.24472989832082348, -82.89705571849391674 30.24466249128874296, -82.89709415600015063 30.24460036865313839, -82.89714588401741935 30.24454591773990941, -82.89720891466038211 30.24450123105281918, -82.89728082570340462 30.2444680258618952, -82.897358853664187 30.24444757821186869, -82.89744000000000312 30.24444067388634494, -82.89752114633583346 30.24444757821186869, -82.89759917429660163 30.2444680258618952, -82.89767108533960993 30.24450123105281918, -82.8977341159825869 30.24454591773990941, -82.8977858439998414 30.24460036865313839, -82.89782428150608951 30.24466249128874296, -82.89784795135078355 30.24472989832082348, -82.89785594388695245 30.24479999934304431, -82.89784795193281752 30.24487010041525892, -82.89782428258155278 30.24493750758976063, -82.89778584540501072 30.24499963043849959, -82.89773411750353205 30.2450540816031328, -82.89767108674479346 30.24509876854162727, -82.89759917537207912 30.24513197394568564, -82.89752114691786744 30.24515242173812624, -82.89744000000000312 30.24515932611365443)))"
FWC,"Seminole, Lake (Fl Section)",395,,NA,NA,30.75494,-84.92742,2572,10361596,7/10/99,3,,,116.189,23,3.13E+12,390,39009,,465024.5929,116189318.8,"coordinates far from lake based on NHD, but FDEP polygon matches Google Maps lake shape better, used FDEP shape",FDEP,"MultiPolygon (((-84.92741999999999791 30.75529932611365069, -84.9273384263706248 30.75529242173761801, -84.92725998760406014 30.75527197394371726, -84.92718769808691093 30.75523876853746685, -84.92712433588405929 30.75519408159638246, -84.92707233597614902 30.75513963042917354, -84.92703369668377889 30.75507750757823189, -84.92700990287396223 30.75501010040227001, -84.92700186890070313 30.7549399993295296, -84.92700990347108814 30.75486989830783102, -84.92703369778713807 30.75480249127721777, -84.92707233741778339 30.75474036864379102, -84.92712433744445377 30.75468591773315552, -84.92718769952853108 30.75464123104865521, -84.92725998870740511 30.75460802585992681, -84.92733842696775071 30.75458757821135336, -84.92741999999999791 30.75458067388635897, -84.92750157303224512 30.75458757821135336, -84.92758001129259071 30.75460802585992681, -84.92765230047146474 30.75464123104865521, -84.92771566255554205 30.75468591773315552, -84.92776766258221244 30.75474036864379102, -84.92780630221285776 30.75480249127721777, -84.92783009652890769 30.75486989830783102, -84.9278381310992927 30.7549399993295296, -84.92783009712603359 30.75501010040227001, -84.92780630331621694 30.75507750757823189, -84.92776766402384681 30.75513963042917354, -84.92771566411593653 30.75519408159638246, -84.9276523019130849 30.75523876853746685, -84.92758001239594989 30.75527197394371726, -84.92750157362937102 30.75529242173761801, -84.92741999999999791 30.75529932611365069)))"
FWC,Orange Creek Conservation Area,646,,NA,NA,29.445669,-82.070787,548748,167768761,3/18/20,2,,,0.4431937,0,3.08E+12,436,43600,500000,0.028371763,4.12E-05,coordinates are in a large polygon that doesn't look like a complete waterbody in Google Maps. I selected a smaller polygon within the large one that does match water in Google Maps.,NHD,"MultiPolygon (((-82.07078699999999571 29.44602832611364462, -82.07070649988550315 29.44602142173891579, -82.07062909337707879 29.44600097394874183, -82.07055775519040708 29.44596776854806919, -82.07049522682999054 29.44592308161358218, -82.07044391123199034 29.44586863045294223, -82.07040578041976175 29.44580650760758189, -82.07038229972101817 29.44573910043535392, -82.07037437145881142 29.44566899936392801, -82.07038230028005898 29.44559889834091493, -82.07040578145274878 29.44553149130657488, -82.07044391258165206 29.44546936866757036, -82.07049522829082377 29.44541491775034814, -82.07055775654004037 29.4453702310592611, -82.07062909441005161 29.44533702586495494, -82.07070650044454396 29.4453165782126618, -82.07078699999999571 29.44530967388634934, -82.07086749955544747 29.4453165782126618, -82.07094490558993982 29.44533702586495494, -82.07101624345995106 29.4453702310592611, -82.07107877170915344 29.44541491775034814, -82.07113008741833937 29.44546936866757036, -82.07116821854722843 29.44553149130657488, -82.07119169971993244 29.44559889834091493, -82.07119962854118 29.44566899936392801, -82.07119170027897326 29.44573910043535392, -82.07116821958021546 29.44580650760758189, -82.07113008876798688 29.44586863045294223, -82.07107877317000089 29.44592308161358218, -82.07101624480958435 29.44596776854806919, -82.07094490662291264 29.44600097394874183, -82.07086750011448828 29.44602142173891579, -82.07078699999999571 29.44602832611364462)))"
FWC,Paynes Prairie,862,,NA,NA,29.578257,-82.312738,22824,16626432,7/8/99,3,300408,Prairie Creek,11.109,,3.08E+12,390,39004,,32048.02789,11108569.05,coordinates are in a large polygon that doesn't look like a complete waterbody in Google Maps. I selected a smaller polygon within the large one that does match water in Google Maps (FDEP dataset).,FDEP,"MultiPolygon (((-82.31273800000001017 29.57861632611364655, -82.31265739436845763 29.57860942173879337, -82.31257988639816858 29.57858897394824638, -82.31250845470408706 29.57855576854701596, -82.31244584438431389 29.5785110816118646, -82.31239446152470407 29.57845663045056384, -82.31235628073336841 29.57839450760465638, -82.31233276925856046 29.57832710043204827, -82.31232483060590255 29.57825699936049091, -82.31233276982136715 29.57818689833761283, -82.31235628177330454 29.57811949130363516, -82.31239446288344652 29.57805736866519197, -82.31244584585500945 29.5780029177486341, -82.3125084560628153 29.57795823105820787, -82.31257988743809051 29.57792502586445238, -82.31265739493126432 29.57790457821253227, -82.31273800000001017 29.57789767388635482, -82.31281860506874182 29.57790457821253227, -82.31289611256192984 29.57792502586445238, -82.31296754393720505 29.57795823105820787, -82.3130301541450109 29.5780029177486341, -82.31308153711655962 29.57805736866519197, -82.31311971822670159 29.57811949130363516, -82.31314323017863899 29.57818689833761283, -82.31315116939410359 29.57825699936049091, -82.31314323074144568 29.57832710043204827, -82.31311971926663773 29.57839450760465638, -82.31308153847530207 29.57845663045056384, -82.31303015561569225 29.5785110816118646, -82.31296754529593329 29.57855576854701596, -82.31289611360185177 29.57858897394824638, -82.31281860563154851 29.57860942173879337, -82.31273800000001017 29.57861632611364655)))"
Lakewatch,Asbury South,0,Clay,1867111,18.5,30.046125,-81.820625,25899,125951452,7/24/19,2,301100,South Lake Asbury,0.25545051,0,3.08E+12,390,39004,500000,0.058688661,2.39E-05,coordinates far from lake,NHD,"MultiPolygon (((-81.82062500000000682 30.04648432611364939, -81.82054401632872498 30.04647742173832725, -81.82046614484730185 30.04645697394645509, -81.82039437814091798 30.04642376854324581, -81.82033147418238173 30.04637908160575321, -81.82027985034213202 30.04632463044212187, -81.82024149048881156 30.04626250759422135, -81.82021786875154135 30.04619510042028807, -81.82020989287261159 30.04612499934826886, -81.8202178693277915 30.04605489832585263, -81.82024149155358828 30.04598749129320012, -81.82027985173331786 30.04592536865674646, -81.82033147568820652 30.04587091774251917, -81.82039437953210381 30.04582623105443417, -81.82046614591209277 30.0457930258626611, -81.82054401690496093 30.0457725782120697, -81.82062500000000682 30.04576567388635766, -81.8207059830950385 30.0457725782120697, -81.82078385408793508 30.0457930258626611, -81.82085562046789562 30.04582623105443417, -81.82091852431179291 30.04587091774251917, -81.82097014826668158 30.04592536865674646, -81.82100850844641116 30.04598749129320012, -81.82103213067220793 30.04605489832585263, -81.82104010712738784 30.04612499934826886, -81.82103213124845809 30.04619510042028807, -81.82100850951118787 30.04626250759422135, -81.82097014965788162 30.04632463044212187, -81.82091852581761771 30.04637908160575321, -81.82085562185909566 30.04642376854324581, -81.82078385515269758 30.04645697394645509, -81.82070598367127445 30.04647742173832725, -81.82062500000000682 30.04648432611364939)))"
Lakewatch,Bedford,0,Bradford,278374,44,29.80933333,-82.05613333,199776,125957326,9/10/09,2,278374,Lake Bedford,0.475,0,3.08E+12,390,39004,1000000,0.033784701,4.44E-05,coordinates far from lake,NHD,"MultiPolygon (((-82.05613333333333514 29.80969265944698421, -82.05605254210635735 29.8096857550719001, -82.05597485567332683 29.8096653072806923, -82.05590325950777242 29.80963210187849199, -82.05584050502852733 29.80958741494218245, -82.05578900386150565 29.80953296377973771, -82.05575073516119744 29.80947084093284261, -82.05572716955396118 29.80940343375958435, -82.05571921262539092 29.80933333268779961, -82.05572717012337591 29.80926323166514536, -82.05575073621335491 29.80919582463182493, -82.05578900523617847 29.8091337019943623, -82.05584050651648909 29.80907925107894485, -82.05590326088245945 29.80903456438967325, -82.05597485672547009 29.80900135919690186, -82.05605254267577209 29.80898091154563545, -82.05613333333333514 29.80897400721968893, -82.0562141239908982 29.80898091154563545, -82.0562918099412002 29.80900135919690186, -82.05636340578418242 29.80903456438967325, -82.05642616015016699 29.80907925107894485, -82.0564776614304634 29.8091337019943623, -82.05651593045330117 29.80919582463182493, -82.05653949654326595 29.80926323166514536, -82.05654745404126515 29.80933333268779961, -82.05653949711268069 29.80940343375958435, -82.05651593150544443 29.80947084093284261, -82.05647766280515043 29.80953296377973771, -82.05642616163811454 29.80958741494218245, -82.05636340715888366 29.80963210187849199, -82.05629181099332925 29.8096653072806923, -82.05621412456028452 29.8096857550719001, -82.05613333333333514 29.80969265944698421)))"
Lakewatch,Blue Cove,0,Marion,NA,NA,29.0511,-82.4567,520916,68021503,3/20/13,2,,,0.09060571,0,3.10E+12,390,39004,500000,0.012384066,8.39E-06,coordinates far from lake,NHD,"MultiPolygon (((-82.45669999999999789 29.05145932611365112, -82.45661980973326877 29.05145242173930953, -82.45654270116470741 29.05143197395024046, -82.45647163755978681 29.05139876855122338, -82.45640934987065407 29.05135408161867971, -82.45635823178447765 29.0512996304599973, -82.45632024773442481 29.05123750761629253, -82.45629685740861703 29.05117010044516235, -82.45628895965768379 29.05109999937412013, -82.45629685795658759 29.05102989835072691, -82.45632024874696242 29.05096249131527486, -82.45635823310739454 29.05090036867461478, -82.45640935130253979 29.05084591775544922, -82.45647163888268949 29.05080123106241174, -82.4565427021772166 29.05076802586645002, -82.45661981028123932 29.05074757821304843, -82.45669999999999789 29.05074067388635939, -82.45678018971877066 29.05074757821304843, -82.45685729782279338 29.05076802586645002, -82.45692836111732049 29.05080123106241174, -82.45699064869745598 29.05084591775544922, -82.45704176689260123 29.05090036867461478, -82.45707975125306177 29.05096249131527486, -82.45710314204340818 29.05102989835072691, -82.45711104034232619 29.05109999937412013, -82.45710314259137874 29.05117010044516235, -82.45707975226557096 29.05123750761629253, -82.45704176821553233 29.0512996304599973, -82.4569906501293417 29.05135408161867971, -82.45692836244023738 29.05139876855122338, -82.45685729883530257 29.05143197395024046, -82.45678019026674122 29.05145242173930953, -82.45669999999999789 29.05145932611365112)))"
Lakewatch,Bobcat,0,Sarasota,NA,NA,27.18236667,-81.8036,340357,{1FEA1CCD-AC74-4578-B9D4-5AFEF5C59621},7/29/13,2,,,0.00132147,0,3.10E+12,436,43618,50000,0.001464454,1.20E-07,coordinates far from lake,NHD,"MultiPolygon (((-81.80360000000000298 27.1827259927803162, -81.80352119530500943 27.18271908840777584, -81.80344541905859046 27.18269864062382624, -81.80337558332340109 27.18266543523246881, -81.80331437186362109 27.1826207483089668, -81.80326413700699106 27.18256629715931894, -81.80322680924521705 27.18250417432328447, -81.80320382304722671 27.1824367671572773, -81.8031960617356475 27.18236666608803631, -81.80320382354506137 27.18229656506283831, -81.80322681016512831 27.1822291580222668, -81.80326413820890252 27.18216703537394352, -81.80331437316455379 27.1821125844457363, -81.80337558452529834 27.18206789774366072, -81.8034454199784733 27.18203469254002869, -81.8035211958028583 27.18201424488151119, -81.80360000000000298 27.18200734055301382, -81.80367880419714766 27.18201424488151119, -81.80375458002151845 27.18203469254002869, -81.80382441547469341 27.18206789774366072, -81.80388562683543796 27.1821125844457363, -81.80393586179110343 27.18216703537394352, -81.80397318983487764 27.1822291580222668, -81.80399617645493038 27.18229656506283831, -81.80400393826434424 27.18236666608803631, -81.80399617695277925 27.1824367671572773, -81.8039731907547889 27.18250417432328447, -81.80393586299300068 27.18256629715931894, -81.80388562813638487 27.1826207483089668, -81.80382441667660487 27.18266543523246881, -81.8037545809414155 27.18269864062382624, -81.80367880469498232 27.18271908840777584, -81.80360000000000298 27.1827259927803162)))"
