CoordSource,AreaOfInterest,AreaOfInterestID,County,GNISID_LW,SA_LW_hec,latitude,longitude,OBJECTID,PermanentID,FDate,Resolution,GNISID,GNISName,Area_SqKm,Elevation,ReachCode,FType,FCode,Visibility,ShapeLength,ShapeArea,JoinNotes,ShapeSource
Lakewatch,Ashley,0,Putnam,292625,34,29.7059,-82.02274,33146,16665863,7/8/99,3,,,0.338,,3.08E+12,390,39004,,3102.863622,337976.0422,FDEP polygon contained two connected waterbodies and coordinates were near center,FDEP
Lakewatch,Back,0,Walton,NA,NA,30.74173333,-86.14253333,21386,2242701,6/17/99,3,,,0.139,,3.14E+12,390,39004,,1602.343801,138527.6562,FDEP polygon split two waterbodies that are sampled separately,FDEP
Lakewatch,Banana,0,Polk,278076,138,27.9793,-81.90266667,9116,16798757,10/17/99,3,278076,Banana Lake,1.014,,3.10E+12,390,39004,,4094.794242,1013945.091,FDEP polygon omitted nearby waterway,FDEP
FWC,Banana Lake,25,,,,27.9788,-81.9036,9116,16798757,10/17/99,3,278076,Banana Lake,1.014,,3.10E+12,390,39004,,4094.794242,1013945.091,FDEP polygon omitted nearby waterway,FDEP
Lakewatch,Buffum,0,Polk,279626,624,27.7953,-81.6604,32328,16799991,8/24/09,3,279626,Lake Buffum,6.258,40,3.10E+12,390,39009,,14503.93289,6257778.635,FDEP polygon a better fit,FDEP
FWC,"Buffum, Lake",52,,,,27.80145,-81.6627,32328,16799991,8/24/09,3,279626,Lake Buffum,6.258,40,3.10E+12,390,39009,,14503.93289,6257778.635,FDEP polygon a better fit,FDEP
Lakewatch,Daytona,0,Volusia,281357,NA,29.0504,-81.25463333,32693,10987947,8/24/09,3,281357,Lake Daytona,0.061,,3.08E+12,390,39004,,953.9551091,60977.75102,FDEP polygon a better fit,FDEP
Lakewatch,East Crystal,0,Seminole,281126,NA,28.7684,-81.31316667,20587,10993257,10/17/99,3,281126,Crystal Lake,0.473,,3.08E+12,390,39004,,4548.705829,473485.0718,FDEP polygon a better fit,FDEP
Lakewatch,Emily,0,Seminole,282201,2,28.673,-81.31356667,32015,10994275,8/24/09,3,282201,Lake Emily,0.015,,3.08E+12,390,39004,,459.6652242,15269.66065,FDEP polygon a better fit,FDEP
Lakewatch,Emily,0,Seminole,282201,2,28.673,-81.31356667,32015,10994275,8/24/09,3,282201,Lake Emily,0.015,,3.08E+12,390,39004,,459.6652242,15269.66065,FDEP polygon a better fit,FDEP
Lakewatch,Fox,0,Brevard,282770,67,28.592375,-80.8685,2594,10990523,10/17/99,3,282770,Fox Lake,0.63,5,3.08E+12,390,39009,,7007.785324,630228.7105,FDEP polygon a better fit,FDEP
FWC,Fox Lake,146,,,,28.58903,-80.87414,2594,10990523,10/17/99,3,282770,Fox Lake,0.63,5,3.08E+12,390,39009,,7007.785324,630228.7105,FDEP polygon a better fit,FDEP
Lakewatch,Fuller,0,Hillsborough,NA,6,28.15086667,-82.47966667,27503,16915612,11/18/99,3,,,0.04,,3.10E+12,390,39004,,886.2954063,40405.93294,FDEP polygon a better fit,FDEP
Lakewatch,Gatlin,0,Orange,282967,87,28.4911,-81.36806667,32380,21472978,8/24/09,3,282967,Lake Gatlin,0.257,26,3.09E+12,390,39009,,1867.050556,257240.2343,FDEP polygon a better fit,FDEP
FWC,"Gatlin, Lake",153,,,,28.491032,-81.368438,32380,21472978,8/24/09,3,282967,Lake Gatlin,0.257,26,3.09E+12,390,39009,,1867.050556,257240.2343,FDEP polygon a better fit,FDEP
Lakewatch,Goose Pond,0,Leon,NA,NA,30.4763,-84.2445,22715,10318190,7/7/99,3,,,0.068,,3.12E+12,390,39004,,1550.500888,67644.55406,FDEP polygon a better fit,FDEP
Lakewatch,Grassy,0,Lake,283323,13,28.5962,-81.74396667,9450,16632672,10/17/99,3,283323,Grassy Lake,0.615,,3.08E+12,390,39004,,3122.839221,614834.5897,FDEP polygon a better fit,FDEP
Lakewatch,Grayton,0,Walton,293134,NA,30.33183333,-86.16333333,6613,2180065,6/17/99,3,,,0.213,,3.14E+12,390,39004,,4576.248051,212528.8076,FDEP polygon a better fit,FDEP
Lakewatch,Hiawatha,0,Lake,NA,NA,28.56446667,-81.77973333,31963,16632810,8/24/09,3,283936,Lake Hiawatha,0.215,28,3.08E+12,390,39009,,2713.380428,215069.8936,FDEP polygon a better fit,FDEP
FWC,"Hiawatha, Lake",185,,,,28.56426,-81.7789,31963,16632810,8/24/09,3,283936,Lake Hiawatha,0.215,28,3.08E+12,390,39009,,2713.380428,215069.8936,FDEP polygon a better fit,FDEP
Lakewatch,Iamonia,0,Leon,284452,2330,30.638325,-84.212825,32453,10361818,8/24/09,3,284452,Lake Iamonia,20.67,,3.12E+12,390,39004,10,80609.11539,20669928.24,FDEP polygon a better fit,FDEP
FWC,"Iamonia, Lake",200,,,,30.63343,-84.24847,32453,10361818,8/24/09,3,284452,Lake Iamonia,20.67,,3.12E+12,390,39004,10,80609.11539,20669928.24,FDEP polygon a better fit,FDEP
Lakewatch,Lotela,0,Highlands,286124,279,27.5768,-81.48113333,32612,21480832,8/24/09,3,286124,Lake Lotela,3.223,32,3.09E+12,390,39009,,7791.911905,3223488.898,FDEP polygon a better fit,FDEP
FWC,"Lotela, Lake",257,,,,27.57904,-81.4836,32612,21480832,8/24/09,3,286124,Lake Lotela,3.223,32,3.09E+12,390,39009,,7791.911905,3223488.898,FDEP polygon a better fit,FDEP
Lakewatch,Myrtle,0,Hillsborough,NA,4,28.14843333,-82.48256667,27505,16915626,11/18/99,3,,,0.04,,3.10E+12,390,39004,,829.738868,39718.76591,FDEP polygon a better fit,FDEP
Lakewatch,Neff,0,Hernando,287571,91,28.47923333,-82.32443333,24609,16928740,11/18/99,3,287571,Neff Lake,0.904,,3.10E+12,390,39004,,5472.584048,903801.6761,FDEP polygon a better fit,FDEP
FWC,Ocheesee Pond,324,,,,30.68538,-84.98211,31334,120053175,12/12/08,3,,,8.877,,,390,39004,,31226.56208,8877179.308,FDEP polygon a better fit,FDEP
Lakewatch,Pasadena,0,Pasco,288555,151,28.32236667,-82.2195,32376,16954658,8/24/09,3,288555,Lake Pasadena,1.486,28,3.10E+12,390,39009,,9493.502448,1486402.534,FDEP polygon a better fit,FDEP
Lakewatch,Pebble,0,Clay,307197,NA,29.8252,-81.95343333,20717,16661803,7/8/99,3,307197,Pebble Lake,0.036,,3.08E+12,390,39004,,748.6174979,35615.18898,FDEP polygon a better fit,FDEP
FWC,"Prima Vista, Lake",360,,,,28.56408,-81.53685,4164,10995363,10/17/99,3,,,0.081,,3.08E+12,390,39004,,1286.698472,81087.83664,FDEP polygon a better fit,FDEP
Lakewatch,Primavista,0,Orange,291635,12,28.564,-81.53693333,4164,10995363,10/17/99,3,,,0.081,,3.08E+12,390,39004,,1286.698472,81087.83664,FDEP polygon a better fit,FDEP
FWC,Puzzle Lake,361,,,,28.60593,-80.96205,3790,10994087,10/17/99,3,289390,Puzzle Lake,2.89,,3.08E+12,390,39004,,22255.24545,2889882.187,FDEP polygon a better fit,FDEP
FWC,Rodman Reservoir,371,,,,29.5214,-81.806733,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-1,0,Putnam,306146,5261,29.5232,-81.824,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-2,0,Putnam,306146,5261,29.5425,-81.8373,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-3,0,Putnam,306146,5261,29.5075,-81.8858,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-4,0,Putnam,306146,5261,29.486,-81.9077,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-4A,0,Putnam,306146,5261,29.5094,-81.9068,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-5,0,Putnam,306146,5261,29.3855,-81.9001,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-6,0,Putnam,306146,5261,29.5077,-81.8045,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-out 1,0,Putnam,306146,NA,29.5257,-81.797,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-out 2,0,Putnam,306164,NA,29.5083,-81.916,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Rodman-out 3,0,Putnam,306164,NA,29.5083,-81.9162,32560,120053782,12/11/08,3,,,34.295,,,390,39004,10,82167.4506,34294549.85,FDEP polygon a better fit,FDEP
Lakewatch,Stanley,0,Walton,291619,40,30.7384,32118,32118,2242703,8/24/09,3,291619,Lake Stanley,0.292,,3.14E+12,390,39004,,2323.063838,292332.6904,FDEP polygon a better fit,FDEP
FWC_2,"Stanley, Lake",417,Walton,,,30.73938,32118,32118,2242703,8/24/09,3,291619,Lake Stanley,0.292,,3.14E+12,390,39004,,2323.063838,292332.6904,FDEP polygon a better fit,FDEP
Lakewatch,Starke,0,Orange,291635,133,28.57213333,-81.53643333,4157,10995273,10/17/99,3,291635,Starke Lake,0.812,,3.08E+12,390,39004,,3378.20759,811908.3323,FDEP polygon a better fit,FDEP
FWC,Starke Lake,419,,,,28.57175,-81.53715,4157,10995273,10/17/99,3,291635,Starke Lake,0.812,,3.08E+12,390,39004,,3378.20759,811908.3323,FDEP polygon a better fit,FDEP
Lakewatch,Vienna,0,Pasco,292773,NA,28.21286667,-82.4666,10463,16930426,11/18/99,3,292773,Vienna Lake,0.056,,3.10E+12,390,39004,,923.4747664,55856.39236,FDEP polygon a better fit,FDEP
Lakewatch,Western,0,Walton,293134,69.2037,30.3265,-86.15133333,6614,2180073,6/17/99,3,293134,Western Lake,0.397,,3.14E+12,390,39004,,4053.447446,396698.8351,FDEP polygon a better fit,FDEP
