Invasive,Response,Term,Estimate,SE,t,P,R2,Waterbodies,Years,N
hydrilla,mean,intercept,1.919538360567763,0.168612254014359,11.384334856257217,8.934173585888076e-29,0.09679152373118186,189,22,4158
hydrilla,mean,established,0.7797567207157017,0.18590725461241364,4.1943318583310125,2.9094642916143462e-5,0.09679152373118186,189,22,4158
hydrilla,max,intercept,2.598459188120733,0.16893395096216723,15.381509597811146,1.966890562552767e-49,0.15033219875111847,189,22,4158
hydrilla,max,established,0.7077753729616105,0.18580965332906343,3.8091420993513245,1.455128190524566e-4,0.15033219875111847,189,22,4158
hydrilla,min,intercept,1.1469408402059769,0.17933108824548377,6.395660961115375,2.176519971958734e-10,0.040960630823858986,189,22,4158
hydrilla,min,established,0.7786689657528687,0.19630128632472096,3.9667033279893897,7.657657598889173e-5,0.040960630823858986,189,22,4158
hydrilla,cv,intercept,-0.7870421877358216,0.062545724399133,-12.583469058785598,1.800226511860788e-34,0.05666345723946753,189,22,4158
hydrilla,cv,established,-0.10692782397474743,0.0686375929134068,-1.5578609248381945,0.11949320571690769,0.05666345723946753,189,22,4158
floating plants,mean,intercept,2.1350012366813433,0.225694105433486,9.459711996379749,1.2627948929209414e-20,0.0868442994940664,189,22,4158
floating plants,mean,established,0.5045480408302522,0.23852873356011964,2.115250575055286,0.03458559599301274,0.0868442994940664,189,22,4158
floating plants,max,intercept,2.8117931727481165,0.24959487535418234,11.265428301595138,3.0953537700303343e-28,0.1391323141119499,189,22,4158
floating plants,max,established,0.4390481102045049,0.2608206261119824,1.6833335489962407,0.0925344460334473,0.1391323141119499,189,22,4158
floating plants,min,intercept,1.399986842924958,0.1738475668743694,8.052956208105321,1.718101425980003e-15,0.03414881813408015,189,22,4158
floating plants,min,established,0.46334951771913707,0.1912639964108322,2.422565283660963,0.015538122822573972,0.03414881813408015,189,22,4158
floating plants,cv,intercept,-0.79088364455181,0.07755361619999208,-10.197895124739402,1.3332563943110035e-23,0.056092930557070445,189,22,4158
floating plants,cv,established,-0.09737280432545027,0.08224001165950509,-1.1840076668349568,0.23661187624574417,0.056092930557070445,189,22,4158
