Invasive,Response,Term,Estimate,SE,t,P,R2,Waterbodies,Years,N
hydrilla,mean,intercept,6.634968789937593,0.13276229817384583,49.976302619056966,8.9412e-319,0.7052201389366177,191,23,4393
hydrilla,mean,established,0.22036672559072285,0.13927355432555236,1.5822582159109329,0.1138066299500039,0.7052201389366177,191,23,4393
hydrilla,max,intercept,6.899785744125555,0.1228183820127315,56.17877088960767,0,0.7111031050164441,191,23,4393
hydrilla,max,established,0.22990342960983812,0.13030513484115572,1.7643466613199434,0.0778821408230375,0.7111031050164441,191,23,4393
hydrilla,min,intercept,6.318096105468648,0.15364132330074148,41.12237495573664,2.2792300596916399e-246,0.6563718689637567,191,23,4393
hydrilla,min,established,0.22979008375214693,0.15957353284606363,1.4400262979313703,0.1500737587744314,0.6563718689637567,191,23,4393
hydrilla,cv,intercept,-1.7975747181182875,0.07471913649496803,-24.057755515407294,4.861251807580451e-108,0.23774193324826057,191,23,4393
hydrilla,cv,established,-0.023323028198675932,0.07879137580844357,-0.29600991173676844,0.7672644933317267,0.23774193324826057,191,23,4393
floating plants,mean,intercept,6.273947257593846,0.15339329340921673,40.90105322177581,1.560689140637014e-244,0.7169622488837136,191,23,4393
floating plants,mean,established,0.5960849301177078,0.1586411895527369,3.757441127353322,1.783997249371198e-4,0.7169622488837136,191,23,4393
floating plants,max,intercept,6.623001415496686,0.14235956586765994,46.52305150785266,7.873250662974009e-291,0.7184046514991744,191,23,4393
floating plants,max,established,0.5147276445222791,0.14841785886758702,3.468097764309485,5.393423555312312e-4,0.7184046514991744,191,23,4393
floating plants,min,intercept,5.8742599935520605,0.18583440022636985,31.610186200167824,1.295362282106761e-167,0.6718950518768546,191,23,4393
floating plants,min,established,0.6944319721720912,0.19036957634318497,3.64780962121919,2.7376222565711846e-4,0.6718950518768546,191,23,4393
floating plants,cv,intercept,-1.5591728693681866,0.10475860711329366,-14.883482248689909,9.226481132602012e-47,0.24371258561998393,191,23,4393
floating plants,cv,established,-0.2793574943730657,0.10735889113138031,-2.6020899753072366,0.009359243865479355,0.24371258561998393,191,23,4393
