Invasive,Response,Term,Estimate,SE,t,P,R2,Waterbodies,Years,N
hydrilla,mean,intercept,3.0695304241719503,0.1636156024124039,18.760621718917715,1.5285793615230496e-70,0.23087029820009602,191,23,4393
hydrilla,mean,established,0.37923375946672283,0.17660366354169169,2.1473719845975636,0.03192745651018217,0.23087029820009602,191,23,4393
hydrilla,max,intercept,3.427518603423635,0.16199211322593013,21.158552321885452,6.497962681136041e-87,0.24182242886015584,191,23,4393
hydrilla,max,established,0.4045789270679631,0.17735794416501746,2.2811435313635267,0.022683039077710115,0.24182242886015584,191,23,4393
hydrilla,min,intercept,2.6645763508210076,0.1670507606511245,15.950698700413675,6.204597729601712e-53,0.1761729366079962,191,23,4393
hydrilla,min,established,0.34110613325379757,0.17920722272479886,1.9034173292089918,0.057182064546438933,0.1761729366079962,191,23,4393
hydrilla,cv,intercept,-1.5427332280366948,0.07235463746037663,-21.321829286775678,4.559253514747508e-88,0.15469759307857928,191,23,4393
hydrilla,cv,established,0.06537326344032346,0.07611082275205296,0.8589220438897454,0.390524135753058,0.15469759307857928,191,23,4393
floating plants,mean,intercept,2.810176257645291,0.19254075672767026,14.59522807225696,3.793906801612479e-45,0.23239158345629654,191,23,4393
floating plants,mean,established,0.6367114050939704,0.20295494751524848,3.1372056354828834,0.0017396457978281089,0.23239158345629654,191,23,4393
floating plants,max,intercept,3.213629817489402,0.18922180113706963,16.98340148005194,3.4627156698890356e-59,0.24148680364272287,191,23,4393
floating plants,max,established,0.6121037561718491,0.20164281043671625,3.035584332742437,0.0024430557136519795,0.24148680364272287,191,23,4393
floating plants,min,intercept,2.3375185625495503,0.21084264195598687,11.086555076641016,1.748078774473141e-27,0.18014802649500908,191,23,4393
floating plants,min,established,0.6737387231199752,0.21984274646939525,3.0646393112349863,0.0022191486806873713,0.18014802649500908,191,23,4393
floating plants,cv,intercept,-1.408812104902229,0.08501519562371326,-16.57129757293965,1.1660982540911938e-56,0.15478251023599277,191,23,4393
floating plants,cv,established,-0.08268054952843443,0.08816476102015669,-0.9377958786677998,0.3485040005897043,0.15478251023599277,191,23,4393
