Species,coefficients,lm,ran_loc,ran_yr,ran_loc_yr,ran_slope_loc,fix_loc,fix_loc_yr,init_fix_loc_yr,diff_fix_loc_yr,init_diff_fix_loc_yr
hydrilla,(Intercept),-5.648,-5.398,-5.648,-5.398,-5.406,NA,NA,NA,NA,NA
hydrilla,management,1.576,1.027,1.576,1.026,1.018,0.99,0.988,0.721,-0.838,2.602
hydrilla,InitPercCovered_c,NA,NA,NA,NA,NA,NA,NA,0.057,NA,-0.586
hydrilla,InitPercCovered_c:management,NA,NA,NA,NA,NA,NA,NA,-0.015,NA,-0.031
water hyacinth,(Intercept),-6.283,-6.193,-6.284,-6.194,-6.189,NA,NA,NA,NA,NA
water hyacinth,management,0.267,0.115,0.267,0.116,0.116,0.106,0.108,0.106,-0.126,-0.108
water hyacinth,InitPercCovered_c,NA,NA,NA,NA,NA,NA,NA,0.011,NA,-1.05
water hyacinth,InitPercCovered_c:management,NA,NA,NA,NA,NA,NA,NA,0.027,NA,0.063
water lettuce,(Intercept),-6.121,-6.108,-6.121,-6.106,-6.115,NA,NA,NA,NA,NA
water lettuce,management,0.17,0.152,0.17,0.15,0.162,0.152,0.148,0.136,-0.285,0.087
water lettuce,InitPercCovered_c,NA,NA,NA,NA,NA,NA,NA,0.012,NA,-0.894
water lettuce,InitPercCovered_c:management,NA,NA,NA,NA,NA,NA,NA,0.015,NA,0.06
