TaxonName,covariate,Mean,quant_2_5,quant_97_5,invader,Habitat,cov2,habitat_num,tax_num,sig
Azolla caroliniana,cover,0.10400721885888367,0.03950421840271778,0.16528076307986164,hydrilla,floating,hydrilla PAC,2,201,yes
Azolla caroliniana,management,0.07737653946623586,-0.032958824248549984,0.19086093229849924,hydrilla,floating,hydrilla mgmt.,2,201,no
Azolla caroliniana,net,0.1735566476015903,0.06481902633376838,0.2794386245821646,hydrilla,floating,mgmt. + PAC,2,201,yes
Bacopa caroliniana,cover,0.01598416516786335,-0.053782382137524606,0.08869321286955781,hydrilla,emersed,hydrilla PAC,1,102,no
Bacopa caroliniana,management,0.09428655847024787,-0.019105004259900506,0.2091793896743292,hydrilla,emersed,hydrilla mgmt.,1,102,no
Bacopa caroliniana,net,0.15924806197651695,0.04759721536648727,0.26721708429448643,hydrilla,emersed,mgmt. + PAC,1,102,yes
Bacopa monnieri,cover,-0.03454318334895537,-0.09813315315829074,0.028120393821346096,hydrilla,emersed,hydrilla PAC,1,103,no
Bacopa monnieri,management,0.017012756660991307,-0.08024089485640609,0.10651432246563841,hydrilla,emersed,hydrilla mgmt.,1,103,no
Bacopa monnieri,net,-0.033891859873918115,-0.13563669745870616,0.05545659399437867,hydrilla,emersed,mgmt. + PAC,1,103,no
Bidens spp.,cover,-0.00496054059291216,-0.06973994808492079,0.05874179291998008,hydrilla,emersed,hydrilla PAC,1,104,no
Bidens spp.,management,0.0012991048267998401,-0.09245104009344735,0.09764980660432135,hydrilla,emersed,hydrilla mgmt.,1,104,no
Bidens spp.,net,4.87553598384479e-4,-0.09642481347368245,0.09163493995009175,hydrilla,emersed,mgmt. + PAC,1,104,no
Brasenia schreberi,cover,-0.1152116721430441,-0.26601612905714284,0.0285725699759125,hydrilla,emersed,hydrilla PAC,1,105,no
Brasenia schreberi,management,0.23211849970859413,0.039604213464012876,0.42792915066953874,hydrilla,emersed,hydrilla mgmt.,1,105,yes
Brasenia schreberi,net,0.18671989425817132,-0.006408616215596574,0.38219239041066533,hydrilla,emersed,mgmt. + PAC,1,105,no
Cabomba caroliniana,cover,0.06470373032833626,-0.007584443067265335,0.13588746319430256,hydrilla,submersed,hydrilla PAC,3,306,no
Cabomba caroliniana,management,0.20789434925874814,0.04199398776712197,0.39362038660083726,hydrilla,submersed,hydrilla mgmt.,3,306,yes
Cabomba caroliniana,net,0.16947087045137071,0.01634771093369004,0.33898452650455274,hydrilla,submersed,mgmt. + PAC,3,306,yes
Carex spp.,cover,0.008547562209694694,-0.0681755986963617,0.08636926412444779,hydrilla,emersed,hydrilla PAC,1,107,no
Carex spp.,management,-0.04190443401272855,-0.17378271061753298,0.08978510241802082,hydrilla,emersed,hydrilla mgmt.,1,107,no
Carex spp.,net,-0.021157982432103827,-0.14461125720226714,0.10869508917299413,hydrilla,emersed,mgmt. + PAC,1,107,no
Cephalanthus occidentalis,cover,-0.050103541850627854,-0.11458170944752231,0.010243138294960576,hydrilla,emersed,hydrilla PAC,1,108,no
Cephalanthus occidentalis,management,-0.003600920750641639,-0.10095468628956766,0.09348649456048867,hydrilla,emersed,hydrilla mgmt.,1,108,no
Cephalanthus occidentalis,net,-0.04196567322806856,-0.13666220412333457,0.05576405782442723,hydrilla,emersed,mgmt. + PAC,1,108,no
Ceratophyllum demersum,cover,0.1562195159979414,0.08508319794135039,0.23348530457847538,hydrilla,submersed,hydrilla PAC,3,309,yes
Ceratophyllum demersum,management,0.3886456857755159,0.26763816905541316,0.5283621800675835,hydrilla,submersed,hydrilla mgmt.,3,309,yes
Ceratophyllum demersum,net,0.46126501339787324,0.3403995514631806,0.6046197057834117,hydrilla,submersed,mgmt. + PAC,3,309,yes
Chara spp.,cover,0.030321366701082503,-0.03601934013928885,0.09156916202007515,hydrilla,submersed,hydrilla PAC,3,310,no
Chara spp.,management,0.1968061752632086,0.09730415611459584,0.3002391352329059,hydrilla,submersed,hydrilla mgmt.,3,310,yes
Chara spp.,net,0.23368770070859354,0.1356953274169757,0.33144751452128773,hydrilla,submersed,mgmt. + PAC,3,310,yes
Cicuta maculata,cover,-0.024848206779003335,-0.10439231758223999,0.05209425521141992,hydrilla,emersed,hydrilla PAC,1,111,no
Cicuta maculata,management,0.0857138107397762,-0.0787323715726054,0.26249791420112384,hydrilla,emersed,hydrilla mgmt.,1,111,no
Cicuta maculata,net,0.02314925729581135,-0.12902751861974188,0.18964578737690233,hydrilla,emersed,mgmt. + PAC,1,111,no
Cladium jamaicense,cover,-0.0024937732496209462,-0.07977703395614813,0.08188640977214626,hydrilla,emersed,hydrilla PAC,1,112,no
Cladium jamaicense,management,-0.09234516851544075,-0.25085757771838235,0.05848460212709693,hydrilla,emersed,hydrilla mgmt.,1,112,no
Cladium jamaicense,net,-0.07900387017235473,-0.23716784437539146,0.07002366589172837,hydrilla,emersed,mgmt. + PAC,1,112,no
Crinum americanum,cover,-0.1174512156233517,-0.21719103461203093,-0.027202822801706803,hydrilla,emersed,hydrilla PAC,1,113,yes
Crinum americanum,management,0.016845413378411195,-0.10922531103090322,0.14656094069417658,hydrilla,emersed,hydrilla mgmt.,1,113,no
Crinum americanum,net,-0.10668810511099759,-0.22949152696490432,0.020345082241755227,hydrilla,emersed,mgmt. + PAC,1,113,no
Cyperus articulatus,cover,0.037743169251178155,-0.06884750461635314,0.13512871787183828,hydrilla,emersed,hydrilla PAC,1,114,no
Cyperus articulatus,management,-0.17562994795095854,-0.40458239545886765,0.031493158640345735,hydrilla,emersed,hydrilla mgmt.,1,114,no
Cyperus articulatus,net,-0.08987689594409215,-0.3298733994254069,0.11500714048765576,hydrilla,emersed,mgmt. + PAC,1,114,no
Cyperus spp. (other natives),cover,-0.04455858611935803,-0.09892565055477343,0.010119468166095673,hydrilla,emersed,hydrilla PAC,1,115,no
Cyperus spp. (other natives),management,0.02623798829656817,-0.059014966511754266,0.11484006824629314,hydrilla,emersed,hydrilla mgmt.,1,115,no
Cyperus spp. (other natives),net,0.015155789903120886,-0.06720005023863618,0.10103888613563175,hydrilla,emersed,mgmt. + PAC,1,115,no
Decodon verticillatus,cover,-0.07432535245530583,-0.165340086409716,0.014880893847239991,hydrilla,emersed,hydrilla PAC,1,116,no
Decodon verticillatus,management,0.015964589862228425,-0.15874924101451998,0.2142880873884612,hydrilla,emersed,hydrilla mgmt.,1,116,no
Decodon verticillatus,net,-0.04966093868937582,-0.22126206466499698,0.14232824049419088,hydrilla,emersed,mgmt. + PAC,1,116,no
Echinochloa spp.,cover,0.032331266726016605,-0.024344543794003706,0.09524129733651146,hydrilla,emersed,hydrilla PAC,1,117,no
Echinochloa spp.,management,0.04351288570410485,-0.0758535305686244,0.1577726164623978,hydrilla,emersed,hydrilla mgmt.,1,117,no
Echinochloa spp.,net,0.015860008973754322,-0.10671480018100057,0.12582105770862895,hydrilla,emersed,mgmt. + PAC,1,117,no
"Eleocharis spp., emersed",cover,-0.0130260073427267,-0.07702500532444312,0.051988542396421984,hydrilla,emersed,hydrilla PAC,1,118,no
"Eleocharis spp., emersed",management,0.23499171233751118,0.1389509675890945,0.32744749037129445,hydrilla,emersed,hydrilla mgmt.,1,118,yes
"Eleocharis spp., emersed",net,0.20637685729465025,0.11259600970115248,0.30214279691670554,hydrilla,emersed,mgmt. + PAC,1,118,yes
"Eleocharis spp., sub/floating",cover,-0.055074671841205604,-0.12170630863475218,0.006584427341111299,hydrilla,submersed,hydrilla PAC,3,319,no
"Eleocharis spp., sub/floating",management,0.09597794392024503,-0.012170487867083215,0.19690182256175143,hydrilla,submersed,hydrilla mgmt.,3,319,no
"Eleocharis spp., sub/floating",net,0.078897251539712,-0.03219042061349921,0.17971365344997053,hydrilla,submersed,mgmt. + PAC,3,319,no
Filamentous algae,cover,0.1394391692772423,0.06734511198568802,0.2222383352360392,hydrilla,floating,hydrilla PAC,2,220,yes
Filamentous algae,management,0.08172916700344507,-0.010535579644059045,0.1742431734447557,hydrilla,floating,hydrilla mgmt.,2,220,no
Filamentous algae,net,0.13459996110728698,0.049977360567116644,0.22228641161710747,hydrilla,floating,mgmt. + PAC,2,220,yes
Fuirena spp.,cover,-0.030095917517201767,-0.11801251135698781,0.05532525405115825,hydrilla,emersed,hydrilla PAC,1,121,no
Fuirena spp.,management,0.023568528566987997,-0.11163030536688266,0.15329721811901564,hydrilla,emersed,hydrilla mgmt.,1,121,no
Fuirena spp.,net,1.3088583957636456e-4,-0.1295077901654888,0.12483360532663205,hydrilla,emersed,mgmt. + PAC,1,121,no
Hydrocotyle spp.,cover,0.018002408346529785,-0.06783599692813268,0.10775119461728544,hydrilla,emersed,hydrilla PAC,1,122,no
Hydrocotyle spp.,management,0.0982056664210051,-0.04936908806389968,0.27063913283216,hydrilla,emersed,hydrilla mgmt.,1,122,no
Hydrocotyle spp.,net,0.12852112994037218,-0.027820227233873104,0.30300053935367155,hydrilla,emersed,mgmt. + PAC,1,122,no
Hypericum spp.,cover,-0.10454632969086146,-0.25367971181834925,0.020672425014586788,hydrilla,emersed,hydrilla PAC,1,123,no
Hypericum spp.,management,-0.21655606817954762,-0.4758993166276857,0.003128924594974382,hydrilla,emersed,hydrilla mgmt.,1,123,no
Hypericum spp.,net,-0.21284059182692214,-0.4647937575454097,-0.003486152465020992,hydrilla,emersed,mgmt. + PAC,1,123,yes
Juncus effusus,cover,-0.014878483150055818,-0.09455401694052054,0.05916795751409472,hydrilla,emersed,hydrilla PAC,1,124,no
Juncus effusus,management,-0.06454991159328032,-0.18543621395783577,0.07323316745063216,hydrilla,emersed,hydrilla mgmt.,1,124,no
Juncus effusus,net,-0.053072165118077316,-0.17128642616046907,0.0874058319252444,hydrilla,emersed,mgmt. + PAC,1,124,no
Leersia hexandra,cover,0.010060389310541245,-0.07439459154665862,0.09045032542710117,hydrilla,emersed,hydrilla PAC,1,125,no
Leersia hexandra,management,-0.031724714974333906,-0.22013658410572035,0.13252584262376882,hydrilla,emersed,hydrilla mgmt.,1,125,no
Leersia hexandra,net,-0.025839132905211455,-0.2192338314410356,0.13705548301492,hydrilla,emersed,mgmt. + PAC,1,125,no
Lemna/Spirodela spp.,cover,0.009167389878154889,-0.050974880517447,0.06828912118146305,hydrilla,floating,hydrilla PAC,2,226,no
Lemna/Spirodela spp.,management,0.12072340004494235,0.024537440022178086,0.2148690340335166,hydrilla,floating,hydrilla mgmt.,2,226,yes
Lemna/Spirodela spp.,net,0.136521679197965,0.04468098488167664,0.23237976101647217,hydrilla,floating,mgmt. + PAC,2,226,yes
