TaxonName,covariate,Mean,quant_2_5,quant_97_5,invader,psrf,ess,Habitat,cov2,habitat_num,tax_num,sig,sig_reliable
Azolla caroliniana,cover,0.100486875737228,0.038412964696967235,0.16099687459153206,hydrilla,1.081654457006085,2758.753211813726,floating,hydrilla cover,2,201,yes,yes
Azolla caroliniana,management,0.07722806359285084,-0.04555357966838795,0.19305320744876364,hydrilla,1.0606770175518492,3039.9805927776274,floating,hydrilla mgmt.,2,201,no,no
Azolla caroliniana,net,0.1736871623288109,0.06167140536887003,0.28012538144676874,hydrilla,1.081654457006085,2758.753211813726,floating,mgmt. + cover,2,201,yes,yes
Bacopa caroliniana,cover,0.022905400271136505,-0.04583657730139605,0.09295242756991534,hydrilla,1.0032180454905422,2900.705540743105,emersed,hydrilla cover,1,102,no,no
Bacopa caroliniana,management,0.10610830672642957,-0.012520463917911822,0.221469049978702,hydrilla,1.0068027100958759,3000,emersed,hydrilla mgmt.,1,102,no,no
Bacopa caroliniana,net,0.17230204798786075,0.06120968977039288,0.27997767472935003,hydrilla,1.0070616369185708,2900.705540743105,emersed,mgmt. + cover,1,102,yes,yes
Bacopa monnieri,cover,-0.034479325061942144,-0.10144158529469792,0.03517770857677054,hydrilla,1.0027239767936502,3000,emersed,hydrilla cover,1,103,no,no
Bacopa monnieri,management,0.023767277703958204,-0.07358562524901752,0.11846574275421404,hydrilla,1.0040073787705555,3107.7565551426997,emersed,hydrilla mgmt.,1,103,no,no
Bacopa monnieri,net,-0.02757656429235075,-0.11953640251507754,0.0657315329433257,hydrilla,1.0063509525380212,4256.448578262838,emersed,mgmt. + cover,1,103,no,no
Bidens spp.,cover,-0.004215542094309269,-0.06928597867904426,0.05744663633540702,hydrilla,1.1608244444655464,3000,emersed,hydrilla cover,1,104,no,no
Bidens spp.,management,-0.0037392953188573543,-0.10403895236808547,0.0897100233725913,hydrilla,1.0100325721173904,3000,emersed,hydrilla mgmt.,1,104,no,no
Bidens spp.,net,-0.00348096145810154,-0.09827442217210298,0.0875023921869684,hydrilla,1.1608244444655464,2946.9137997067464,emersed,mgmt. + cover,1,104,no,no
Brasenia schreberi,cover,-0.10883223935470662,-0.26044601914236787,0.02858742138299394,hydrilla,1.0001428965249948,1229.1932731024642,emersed,hydrilla cover,1,105,no,no
Brasenia schreberi,management,0.25644236104009016,0.0562578306350631,0.4616706745782105,hydrilla,1.0156768176972046,1517.4417180017995,emersed,hydrilla mgmt.,1,105,yes,yes
Brasenia schreberi,net,0.2124909606462281,0.012192801585592947,0.4081745270722925,hydrilla,1.0676238497220845,229.89689536618735,emersed,mgmt. + cover,1,105,yes,no
Cabomba caroliniana,cover,0.04943655928227206,-0.022470577934556556,0.12001894248359947,hydrilla,1.0020002273064208,2870.801735548561,submersed,hydrilla cover,3,306,no,no
Cabomba caroliniana,management,0.13660312859162876,0.0026416344457100864,0.27206493792049424,hydrilla,1.0384040013963514,2564.5076169925246,submersed,hydrilla mgmt.,3,306,yes,yes
Cabomba caroliniana,net,0.1042851175931105,-0.021659931803056285,0.23035016049238996,hydrilla,1.0384040013963514,1980.777332700656,submersed,mgmt. + cover,3,306,no,no
Carex spp.,cover,0.0042196049367382756,-0.06680238285425995,0.07390534680451492,hydrilla,1.149519691807922,2886.4593386489814,emersed,hydrilla cover,1,107,no,no
Carex spp.,management,-0.0743142589182026,-0.20391502076967297,0.05212184882361063,hydrilla,1.020092559505811,2668.0702693166277,emersed,hydrilla mgmt.,1,107,no,no
Carex spp.,net,-0.054696069383438885,-0.17385334523429077,0.06304308207920689,hydrilla,1.149519691807922,2668.0702693166277,emersed,mgmt. + cover,1,107,no,no
Cephalanthus occidentalis,cover,-0.05233252818598049,-0.11349433569631649,0.006484724793410713,hydrilla,1.0059783472671966,2809.2171301936114,emersed,hydrilla cover,1,108,no,no
Cephalanthus occidentalis,management,-0.0026238814045658255,-0.09680343745432063,0.0971386115875823,hydrilla,1.0068440993878256,3293.8446166320446,emersed,hydrilla mgmt.,1,108,no,no
Cephalanthus occidentalis,net,-0.04251122107774935,-0.1331281172167891,0.05028946453998191,hydrilla,1.0068440993878256,3293.8446166320446,emersed,mgmt. + cover,1,108,no,no
Ceratophyllum demersum,cover,0.13472227127752254,0.07247235290243186,0.19626390665876495,hydrilla,1.0081958265853528,2943.420260799453,submersed,hydrilla cover,3,309,yes,yes
Ceratophyllum demersum,management,0.33646659523312233,0.2432997143147329,0.43226848971996623,hydrilla,1.0031299698808043,2823.2411050900428,submersed,hydrilla mgmt.,3,309,yes,yes
Ceratophyllum demersum,net,0.40769639678531094,0.3162047187593952,0.5015647478759863,hydrilla,1.0081958265853528,2823.2411050900428,submersed,mgmt. + cover,3,309,yes,yes
Chara spp.,cover,0.02827150202461329,-0.03867920764765286,0.09052160070989819,hydrilla,1.0333080010443705,2794.9602435970505,submersed,hydrilla cover,3,310,no,no
Chara spp.,management,0.1968997642959034,0.09708145753625101,0.29608566017024845,hydrilla,0.9996383398525349,2999.9999999999995,submersed,hydrilla mgmt.,3,310,yes,yes
Chara spp.,net,0.23606349673413687,0.1415276265064969,0.3340510868449759,hydrilla,1.0624418919443366,2794.9602435970505,submersed,mgmt. + cover,3,310,yes,yes
Cicuta maculata,cover,-0.026954306340720696,-0.10349676377417615,0.049241683720972006,hydrilla,1.064412258361715,2990.568779711025,emersed,hydrilla cover,1,111,no,no
Cicuta maculata,management,0.08411765571580662,-0.05761084099838142,0.222246370586802,hydrilla,1.056676118977894,2512.5166272457254,emersed,hydrilla mgmt.,1,111,no,no
Cicuta maculata,net,0.01931717335866201,-0.11040673699324492,0.14675949362894208,hydrilla,1.1431096015991673,2007.127083038676,emersed,mgmt. + cover,1,111,no,no
Cladium jamaicense,cover,-0.0030581761483055897,-0.07808746280352814,0.07301408074266878,hydrilla,1.1991885932171524,2877.071806672024,emersed,hydrilla cover,1,112,no,no
Cladium jamaicense,management,-0.04739382018906855,-0.1667242888866899,0.0696978326557951,hydrilla,1.052859431908126,2862.626003895047,emersed,hydrilla mgmt.,1,112,no,no
Cladium jamaicense,net,-0.04538070994466727,-0.14917838149880297,0.0633542715819128,hydrilla,1.1991885932171524,2862.626003895047,emersed,mgmt. + cover,1,112,no,no
Crinum americanum,cover,-0.11018820757087604,-0.2067012160719286,-0.016349868337644773,hydrilla,1.0041296940120266,2334.819933938928,emersed,hydrilla cover,1,113,yes,yes
Crinum americanum,management,0.04000838965817005,-0.08508347159466471,0.1654112233696704,hydrilla,1.0163270767575636,2828.078535439373,emersed,hydrilla mgmt.,1,113,no,no
Crinum americanum,net,-0.09126946691449933,-0.2159222316085899,0.03056470242036483,hydrilla,1.0163270767575636,2272.932288132899,emersed,mgmt. + cover,1,113,no,no
Cyperus articulatus,cover,0.062061680581507066,-0.02946185477056071,0.14724760170672122,hydrilla,1.0290354260776715,2500.447368559234,emersed,hydrilla cover,1,114,no,no
Cyperus articulatus,management,-0.1070019699926737,-0.26180960900037076,0.053038020550003055,hydrilla,1.0146198427724562,2370.126647175555,emersed,hydrilla mgmt.,1,114,no,no
Cyperus articulatus,net,-0.021462641777425465,-0.17051976225493357,0.12780161147526314,hydrilla,1.0335934352053635,717.5652972986729,emersed,mgmt. + cover,1,114,no,no
Cyperus spp. (other natives),cover,-0.04088048428104267,-0.09583738615825228,0.014037143861606687,hydrilla,1.0185463152508836,3008.3867809930616,emersed,hydrilla cover,1,115,no,no
Cyperus spp. (other natives),management,0.03476004261692905,-0.05639472210482049,0.1200542739352406,hydrilla,1.0348840856957537,2941.132303017696,emersed,hydrilla mgmt.,1,115,no,no
Cyperus spp. (other natives),net,0.025641066732235124,-0.060894996538738665,0.10825509646883856,hydrilla,1.0348840856957537,3108.676716983602,emersed,mgmt. + cover,1,115,no,no
Decodon verticillatus,cover,-0.07821832371372295,-0.1634208779485827,0.0030061191414216936,hydrilla,1.0000220808816673,2301.4423285070566,emersed,hydrilla cover,1,116,no,no
Decodon verticillatus,management,-0.026002208049417993,-0.1763363575321864,0.12050684699692428,hydrilla,1.0085635153689447,2407.005957686188,emersed,hydrilla mgmt.,1,116,no,no
Decodon verticillatus,net,-0.09427460227996043,-0.2422719449920456,0.04809008176814183,hydrilla,1.0316447651712426,935.7049520524072,emersed,mgmt. + cover,1,116,no,no
Echinochloa spp.,cover,0.04198977864935731,-0.017453621561735445,0.100562541988509,hydrilla,1.007020480567693,2806.0284695932746,emersed,hydrilla cover,1,117,no,no
Echinochloa spp.,management,0.06961556828154813,-0.030225633191170435,0.16980111127643488,hydrilla,1.0689313630511454,2899.2874505950062,emersed,hydrilla mgmt.,1,117,no,no
Echinochloa spp.,net,0.04568799804911044,-0.04499143009095825,0.13862510530838623,hydrilla,1.0689313630511454,2756.1128374498,emersed,mgmt. + cover,1,117,no,no
"Eleocharis spp., emersed",cover,-0.006874222533747859,-0.07067980773632807,0.055695430634315674,hydrilla,1.000557680200419,3126.3709484002375,emersed,hydrilla cover,1,118,no,no
"Eleocharis spp., emersed",management,0.23809747279900412,0.14110228023029847,0.333801714722236,hydrilla,1.0005428656037503,3000,emersed,hydrilla mgmt.,1,118,yes,yes
"Eleocharis spp., emersed",net,0.21048324289046139,0.11725311914063245,0.30033772487123733,hydrilla,1.0020008146595538,3244.6378721959372,emersed,mgmt. + cover,1,118,yes,yes
"Eleocharis spp., sub/floating",cover,-0.05007382609160198,-0.1080422958139937,0.009680104253197881,hydrilla,1.0010606541958835,3000.0000000000005,submersed,hydrilla cover,3,319,no,no
"Eleocharis spp., sub/floating",management,0.10877908385080914,0.019493041530259422,0.20201924144316483,hydrilla,1.0058981539639897,3176.474961816628,submersed,hydrilla mgmt.,3,319,yes,yes
"Eleocharis spp., sub/floating",net,0.09559886759299652,0.006340117775640037,0.18678706181961616,hydrilla,1.0058981539639897,3324.779601829464,submersed,mgmt. + cover,3,319,yes,yes
Filamentous algae,cover,0.1334668182873854,0.06148189814078684,0.20780607989478683,hydrilla,1.2229681754792445,3000.0000000000005,floating,hydrilla cover,2,220,yes,no
Filamentous algae,management,0.0840650231955569,-0.01334214036796979,0.17962462382661012,hydrilla,1.1278166398109861,2782.336825241502,floating,hydrilla mgmt.,2,220,no,no
Filamentous algae,net,0.1364388422714109,0.045987015784348086,0.2240424754903177,hydrilla,1.2229681754792445,2782.336825241502,floating,mgmt. + cover,2,220,yes,no
Fuirena spp.,cover,-0.020678984726028523,-0.10427785152699633,0.06379707594378764,hydrilla,1.2092833659646711,2814.8702277706625,emersed,hydrilla cover,1,121,no,no
Fuirena spp.,management,0.05324885718931034,-0.0791679483947473,0.17821995612861138,hydrilla,1.2439584743386018,2761.6569747820686,emersed,hydrilla mgmt.,1,121,no,no
Fuirena spp.,net,0.02722991466779614,-0.08969098680786607,0.14026902389805354,hydrilla,1.2439584743386018,2761.6569747820686,emersed,mgmt. + cover,1,121,no,no
Hydrocotyle spp.,cover,0.010510763383827289,-0.06326646948189067,0.08686801115856901,hydrilla,1.0340867937139453,3000,emersed,hydrilla cover,1,122,no,no
Hydrocotyle spp.,management,0.07071772428501574,-0.05682232403596344,0.19799981365340003,hydrilla,1.0261843000860746,2606.905013533934,emersed,hydrilla mgmt.,1,122,no,no
Hydrocotyle spp.,net,0.0970796175294897,-0.027448421651144195,0.22561070909624914,hydrilla,1.0340867937139453,2392.0586389468535,emersed,mgmt. + cover,1,122,no,no
Hypericum spp.,cover,-0.0769653861082431,-0.18625244535485821,0.030921481343919192,hydrilla,1.0032699913759482,2325.064064377907,emersed,hydrilla cover,1,123,no,no
Hypericum spp.,management,-0.12103686317423493,-0.26020195426026155,0.018878933108128885,hydrilla,0.9993917496054749,2598.795773471655,emersed,hydrilla mgmt.,1,123,no,no
Hypericum spp.,net,-0.12182615806350228,-0.2602575714765356,0.010978312177173643,hydrilla,1.0051196195533205,1855.55417366551,emersed,mgmt. + cover,1,123,no,no
Juncus effusus,cover,-0.021519585114070452,-0.08680766256231695,0.04010221288066885,hydrilla,1.2079353758898732,2909.9197917615193,emersed,hydrilla cover,1,124,no,no
Juncus effusus,management,-0.11147664091994869,-0.20476495442141607,-0.02034829055381575,hydrilla,1.0356991034672087,3000,emersed,hydrilla mgmt.,1,124,yes,yes
Juncus effusus,net,-0.09873141764031282,-0.18927563782094983,-0.012556624339693128,hydrilla,1.2079353758898732,2909.9197917615193,emersed,mgmt. + cover,1,124,yes,no
Leersia hexandra,cover,0.026871638398594844,-0.04482419793074347,0.09354413048316618,hydrilla,1.004689684704171,2856.616823281509,emersed,hydrilla cover,1,125,no,no
Leersia hexandra,management,0.0343802736684331,-0.08505468182022388,0.15134274311270252,hydrilla,1.000189642395428,2791.6391516376093,emersed,hydrilla mgmt.,1,125,no,no
Leersia hexandra,net,0.03762553572316333,-0.07299787385107663,0.14973959313899898,hydrilla,1.006288403699972,2381.8356264501163,emersed,mgmt. + cover,1,125,no,no
Lemna/Spirodela spp.,cover,0.00477858140564559,-0.05783370091916143,0.06575893162053417,hydrilla,1.0838209149496418,3156.4686125982166,floating,hydrilla cover,2,226,no,no
Lemna/Spirodela spp.,management,0.12363183178030308,0.03167133701628,0.2206295365737445,hydrilla,1.103808237717326,2873.54065801786,floating,hydrilla mgmt.,2,226,yes,no
Lemna/Spirodela spp.,net,0.13820566278069701,0.05034461216689448,0.22710141847316428,hydrilla,1.103808237717326,3318.615957691811,floating,mgmt. + cover,2,226,yes,no
Limnobium spongia,cover,0.13600119316940468,0.07261224457321318,0.1987560346025929,hydrilla,1.0493888504532554,2922.1613871586856,floating,hydrilla cover,2,227,yes,yes
Limnobium spongia,management,0.07800078499328958,-0.04787943109150412,0.204160642465804,hydrilla,1.035895088315817,2517.481734956662,floating,hydrilla mgmt.,2,227,no,no
Limnobium spongia,net,0.1764202580304408,0.0580690898911225,0.29075058062160297,hydrilla,1.0493888504532554,2225.658697602607,floating,mgmt. + cover,2,227,yes,yes
Ludwigia octovalvis/peruviana,cover,0.05752839357571327,-0.024463872905781402,0.137736781649969,hydrilla,1.047606371796611,2670.4435770751684,emersed,hydrilla cover,1,128,no,no
Ludwigia octovalvis/peruviana,management,0.06386134773888459,-0.07174274731297174,0.2014203379907618,hydrilla,1.0052594104576995,2408.7069393424476,emersed,hydrilla mgmt.,1,128,no,no
Ludwigia octovalvis/peruviana,net,0.09965186804716333,-0.03357585886205028,0.23307531264996426,hydrilla,1.0644583596154769,1810.7812342712505,emersed,mgmt. + cover,1,128,no,no
Ludwigia palustris/repens,cover,-0.012374238753568032,-0.08428342376433466,0.05751605033977576,hydrilla,1.015849793971391,3260.163186441905,emersed,hydrilla cover,1,129,no,no
Ludwigia palustris/repens,management,-0.026735385469975247,-0.13557747565620806,0.08545927079176135,hydrilla,1.0176147548934935,3000,emersed,hydrilla mgmt.,1,129,no,no
Ludwigia palustris/repens,net,-0.023150587930228887,-0.12678326994069875,0.0805121272861812,hydrilla,1.0176147548934935,3260.163186441905,emersed,mgmt. + cover,1,129,no,no
Luziola fluitans,cover,0.05151719842655618,-0.01757390100502065,0.11815333969059334,hydrilla,1.0057185836946847,2451.681937244119,submersed,hydrilla cover,3,330,no,no
Luziola fluitans,management,-0.051812443544696454,-0.17004446541359963,0.06205294174819938,hydrilla,1.0169004433367264,2895.110016214645,submersed,hydrilla mgmt.,3,330,no,no
Luziola fluitans,net,-0.022786406889423065,-0.13611235481274467,0.08458764957126588,hydrilla,1.0169004433367264,2451.681937244119,submersed,mgmt. + cover,3,330,no,no
Mayaca fluviatilis,cover,-0.02659673931145581,-0.15496726510715939,0.09633591475291027,hydrilla,1.0022011344877941,1666.9225527655187,submersed,hydrilla cover,3,331,no,no
Mayaca fluviatilis,management,-0.11780598986310345,-0.2787396164356671,0.04240386789485566,hydrilla,1.0016287802711108,2127.139602990653,submersed,hydrilla mgmt.,3,331,no,no
Mayaca fluviatilis,net,-0.22837284546106232,-0.4041275140494056,-0.05916868004953389,hydrilla,2.8993869301659583,144.9649438442877,submersed,mgmt. + cover,3,331,yes,no
Micranthemum glomeratum,cover,-0.08772468827367155,-0.17979246680086802,-0.002793718634941207,hydrilla,1.0987857616474441,2745.1691988038583,submersed,hydrilla cover,3,332,yes,yes
Micranthemum glomeratum,management,-0.027447593601548886,-0.13217192719327625,0.08061464718196931,hydrilla,1.0352363173784807,2639.58367176708,submersed,hydrilla mgmt.,3,332,no,no
