Species,coefficients,glm,ran_loc,ran_yr,ran_loc_yr,fix_loc,fix_loc_yr,init_fix_loc_yr,diff_fix_loc_yr,init_diff_fix_loc_yr
hydrilla,(Intercept),3.063,3.045,3.062,3.046,NA,NA,NA,NA,NA
hydrilla,PAC,0.004,0.001,0.004,0.002,0.001,0.001,0,-0.006,0.013
hydrilla,management,0.083,0.051,0.076,0.041,0.051,0.051,0.015,-0.329,0.241
hydrilla,PrevRichness_c,NA,NA,NA,NA,NA,NA,0.023,NA,-0.477
water hyacinth,(Intercept),3.095,3.092,3.089,3.082,NA,NA,NA,NA,NA
water hyacinth,PAC,-0.006,0.004,-0.006,0.004,0.005,0.005,0.001,-0.097,-0.008
water hyacinth,management,0.083,-0.008,0.089,0.004,-0.012,-0.012,-0.002,-0.082,-0.058
water hyacinth,PrevRichness_c,NA,NA,NA,NA,NA,NA,0.023,NA,-0.469
water lettuce,(Intercept),3.089,3.12,3.088,3.12,NA,NA,NA,NA,NA
water lettuce,PAC,-0.002,-0.005,-0.002,-0.005,-0.005,-0.005,-0.003,-0.022,-0.073
water lettuce,management,0.111,-0.011,0.11,-0.011,-0.014,-0.014,-0.007,-0.098,-0.255
water lettuce,PrevRichness_c,NA,NA,NA,NA,NA,NA,0.021,NA,-0.49
