coefficients,glm,ran_loc,ran_yr,ran_loc_yr,fix_loc,fix_loc_yr,diff_fix_loc_yr,init_fix_loc_yr,init_diff_fix_loc_yr
(Intercept),3.0939,3.0462,3.0923,3.0444,NA,NA,NA,NA,NA
Treated:Hydrilla,0.0553,0.0265,0.0508,0.0215,0.0553,0.9117,-0.3270,0.2691,0.2691
Treated:Torpedograss,0.1987,0.0397,0.1761,0.0153,0.1987,0.5211,-0.9154,-0.2241,-0.2241
Treated:Water hyacinth,0.0821,0.0085,0.0837,0.0106,0.0821,0.0026,-0.0747,-0.0375,-0.0375
Treated:Water lettuce,0.1037,0.0120,0.1027,0.0118,0.1037,-0.3415,-0.0780,-0.2048,-0.2048
Hydrilla:AvgPercCovered,0.0037,0.0004,0.0038,0.0005,0.0037,0.0332,-0.0056,0.0131,0.0131
Torpedograss:AvgPercCovered,0.0351,0.0033,0.0353,0.0037,0.0351,0.4550,-0.1222,0.1556,0.1556
Water hyacinth:AvgPercCovered,-0.0063,0.0025,-0.0068,0.0022,-0.0063,0.0933,-0.0952,-0.0045,-0.0045
Water lettuce:AvgPercCovered,-0.0036,-0.0021,-0.0039,-0.0025,-0.0036,-0.1211,-0.0243,-0.0709,-0.0709
PrevRichness_c,NA,NA,NA,NA,NA,NA,NA,0.5187,-0.4813
,,,,,,,,,
,,,,,,,,,
random effect for location reduces estimates,,,,,,,,,
random effect for year doesn't change estimates much,,,,,,,,,
fixed effect for location doesn't change estimates,,,,,,,,,
fixed effect for time changes estimates a lot and is significant,,,,,,,,,
difference response makes all estimates negative,,,,,,,,,
adding initial richness makes richness and difference models equal,,,,,,,,,
