Species,coefficients,lm,ran_loc,ran_yr,ran_loc_yr,fix_loc,fix_loc_yr,rec,int,rec_int
hydrilla,(Intercept),6.87,6.872,6.895,6.881,NA,NA,NA,NA,NA
hydrilla,PAC_c,-0.002,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,-0.003,-0.003
hydrilla,Treated,0.277,-0.021,0.261,-0.026,-0.027,-0.032,-0.017,-0.026,-0.012
hydrilla,PAC_c:Treated,NA,NA,NA,NA,NA,NA,NA,0.002,0.002
floating plants,(Intercept),6.883,6.882,6.906,6.894,NA,NA,NA,NA,NA
floating plants,PAC_c,0.025,-0.005,0.022,-0.004,-0.007,-0.006,-0.006,0.005,0.01
floating plants,Treated,0.217,0.026,0.21,0.024,0.019,0.014,0.024,0.015,0.025
floating plants,PAC_c:Treated,NA,NA,NA,NA,NA,NA,NA,-0.017,-0.022
Cuban bulrush,(Intercept),6.915,6.807,6.935,6.819,NA,NA,NA,NA,NA
Cuban bulrush,PAC_c,-0.007,-0.012,-0.007,-0.031,-0.017,-0.042,-0.041,-0.066,-0.077
Cuban bulrush,Treated,-0.146,-0.048,-0.171,-0.065,-0.043,-0.055,-0.057,-0.053,-0.051
Cuban bulrush,PAC_c:Treated,NA,NA,NA,NA,NA,NA,NA,0.055,0.073
torpedograss,(Intercept),6.837,6.768,6.877,6.776,NA,NA,NA,NA,NA
torpedograss,PAC_c,-0.037,0.011,-0.041,0.007,0.013,0.008,0.008,0.008,0.012
torpedograss,Treated,0.159,0.05,0.099,0.021,0.046,0.007,-0.001,0.006,-0.008
torpedograss,PAC_c:Treated,NA,NA,NA,NA,NA,NA,NA,-0.004,-0.023
