Invasive,Response,Term,Estimate,SE,t,P,R2,Waterbodies,Years,N
Cuban bulrush,mean,intercept,1.4229523513959357,0.3382499308481867,4.206807516051156,3.1234109111124256e-5,0.12181922923257738,143,9,1287
Cuban bulrush,mean,established,-0.21160121255154304,0.3429225653743218,-0.6170524599936048,0.5375101328411714,0.12181922923257738,143,9,1287
Cuban bulrush,max,intercept,1.8526596924666168,0.3353675845208191,5.524265844338353,5.588444918770221e-8,0.17615924067226793,143,9,1287
Cuban bulrush,max,established,-0.32706656075303386,0.33990790714108776,-0.9622211013092915,0.33645188571792173,0.17615924067226793,143,9,1287
Cuban bulrush,min,intercept,0.8693863693173481,0.3453417368989702,2.5174668348056852,0.01216418008750922,0.044427791593456605,143,9,1287
Cuban bulrush,min,established,-0.05507754332554611,0.3504058432754626,-0.15718214859290547,0.8751713289010351,0.044427791593456605,143,9,1287
Cuban bulrush,cv,intercept,-1.369651873695427,0.22226495008652405,-6.162248582883826,1.5861659438923063e-9,0.12194254090181063,143,9,1287
Cuban bulrush,cv,established,-0.2564314557465356,0.2247450411223521,-1.1409882703793819,0.25447762835444826,0.12194254090181063,143,9,1287
torpedograss,mean,intercept,-0.29093911410796924,9.177560366566092e-16,-317011386999819.94,0,0.09527955895611714,183,21,3843
torpedograss,mean,established,1.5510633409002674,0.04842700522364869,32.02889242762478,1.0790764912308034e-166,0.09527955895611714,183,21,3843
torpedograss,max,intercept,0.4514338557709497,5.17505468222602e-16,872326735640922.75,0,0.13286257890725567,183,21,3843
torpedograss,max,established,1.1287593115244885,0.04753102934383841,23.74784066549598,5.893392548453716e-104,0.13286257890725567,183,21,3843
torpedograss,min,intercept,-0.9485599924430754,5.659177930660887e-16,-1676144493184898.5,0,0.050401841049291726,183,21,3843
torpedograss,min,established,1.809496145447339,0.05068003602846499,35.7043184505831,1.622519134922144e-195,0.050401841049291726,183,21,3843
torpedograss,cv,intercept,-0.6262731112750712,1.9892705271874077e-16,-3148255115208222,0,0.16590946233303652,183,21,3843
torpedograss,cv,established,-0.9766163675975792,0.02495316714328257,-39.13797242609685,1.734702193751211e-222,0.16590946233303652,183,21,3843
