AreaOfInterestID,TaxonName,Present
2,Pistia stratiotes,0
7,Pistia stratiotes,0
13,Pistia stratiotes,0
26,Eichhornia crassipes,0
36,Pistia stratiotes,0
40,Eichhornia crassipes,0
40,Pistia stratiotes,0
44,Hydrilla verticillata,0
44,Pistia stratiotes,0
48,Pistia stratiotes,0
51,Eichhornia crassipes,0
51,Pistia stratiotes,0
56,Pistia stratiotes,0
59,Pistia stratiotes,0
61,Pistia stratiotes,0
64,Pistia stratiotes,0
67,Pistia stratiotes,0
69,Pistia stratiotes,0
70,Pistia stratiotes,0
76,Pistia stratiotes,0
77,Pistia stratiotes,0
82,Pistia stratiotes,0
83,Pistia stratiotes,0
95,Eichhornia crassipes,0
97,Eichhornia crassipes,0
97,Hydrilla verticillata,0
101,Pistia stratiotes,0
105,Eichhornia crassipes,0
105,Pistia stratiotes,0
106,Pistia stratiotes,0
109,Pistia stratiotes,0
114,Eichhornia crassipes,0
114,Pistia stratiotes,0
119,Pistia stratiotes,0
121,Pistia stratiotes,0
125,Pistia stratiotes,0
130,Eichhornia crassipes,0
130,Pistia stratiotes,0
136,Pistia stratiotes,0
140,Pistia stratiotes,0
147,Hydrilla verticillata,0
147,Pistia stratiotes,0
148,Pistia stratiotes,0
152,Hydrilla verticillata,0
159,Cyperus blepharoleptos,0
164,Eichhornia crassipes,0
170,Pistia stratiotes,0
173,Pistia stratiotes,0
178,Pistia stratiotes,0
196,Pistia stratiotes,0
200,Pistia stratiotes,0
203,Pistia stratiotes,0
204,Pistia stratiotes,0
209,Hydrilla verticillata,0
210,Pistia stratiotes,0
213,Pistia stratiotes,0
214,Pistia stratiotes,0
227,Pistia stratiotes,0
235,Pistia stratiotes,0
237,Hydrilla verticillata,0
237,Pistia stratiotes,0
238,Pistia stratiotes,0
240,Pistia stratiotes,0
249,Hydrilla verticillata,0
254,Pistia stratiotes,0
257,Pistia stratiotes,0
260,Pistia stratiotes,0
266,Pistia stratiotes,0
268,Pistia stratiotes,0
269,Pistia stratiotes,0
272,Pistia stratiotes,0
276,Pistia stratiotes,0
277,Pistia stratiotes,0
279,Pistia stratiotes,0
281,Pistia stratiotes,0
283,Pistia stratiotes,0
284,Hydrilla verticillata,0
285,Eichhornia crassipes,0
285,Pistia stratiotes,0
287,Pistia stratiotes,0
288,Pistia stratiotes,0
290,Pistia stratiotes,0
291,Pistia stratiotes,0
292,Pistia stratiotes,0
294,Eichhornia crassipes,0
294,Hydrilla verticillata,0
294,Pistia stratiotes,0
302,Pistia stratiotes,0
305,Pistia stratiotes,0
309,Pistia stratiotes,0
310,Pistia stratiotes,0
311,Pistia stratiotes,0
313,Pistia stratiotes,0
315,Pistia stratiotes,0
323,Hydrilla verticillata,0
341,Pistia stratiotes,0
346,Pistia stratiotes,0
353,Pistia stratiotes,0
355,Pistia stratiotes,0
362,Pistia stratiotes,0
364,Eichhornia crassipes,0
364,Pistia stratiotes,0
366,Pistia stratiotes,0
375,Pistia stratiotes,0
386,Pistia stratiotes,0
390,Pistia stratiotes,0
396,Pistia stratiotes,0
400,Cyperus blepharoleptos,0
400,Pistia stratiotes,0
405,Eichhornia crassipes,0
405,Pistia stratiotes,0
407,Pistia stratiotes,0
412,Pistia stratiotes,0
413,Eichhornia crassipes,0
413,Hydrilla verticillata,0
413,Pistia stratiotes,0
426,Pistia stratiotes,0
429,Pistia stratiotes,0
432,Pistia stratiotes,0
438,Eichhornia crassipes,0
438,Pistia stratiotes,0
441,Pistia stratiotes,0
443,Pistia stratiotes,0
450,Pistia stratiotes,0
452,Hydrilla verticillata,0
452,Pistia stratiotes,0
461,Pistia stratiotes,0
469,Pistia stratiotes,0
472,Pistia stratiotes,0
484,Pistia stratiotes,0
615,Pistia stratiotes,0
622,Hydrilla verticillata,0
628,Eichhornia crassipes,0
630,Pistia stratiotes,0
631,Eichhornia crassipes,0
631,Pistia stratiotes,0
634,Pistia stratiotes,0
654,Pistia stratiotes,0
951,Pistia stratiotes,0
988,Eichhornia crassipes,0
988,Pistia stratiotes,0
1326,Pistia stratiotes,0
