PermanentID,CommonName,Treatments,Established
{36C5AA6F-282D-43DF-B706-228CA2DD8C9E},Para grass,0,0
{36C5AA6F-282D-43DF-B706-228CA2DD8C9E},Water lettuce,1,0
{5BCE6D3C-737E-4F03-81D2-BDDDEF2B4E7C},Hydrilla,1,0
{5BCE6D3C-737E-4F03-81D2-BDDDEF2B4E7C},Para grass,0,0
{6077C558-3B40-40E1-8229-9C8CF7C1CCA6},Cuban bulrush,0,0
{6077C558-3B40-40E1-8229-9C8CF7C1CCA6},Para grass,0,0
{790E86A0-1C71-49A6-83B2-F882C827E5E7},Para grass,0,0
{790E86A0-1C71-49A6-83B2-F882C827E5E7},Water lettuce,0,0
{7E8F2789-19FF-4B6F-8CBF-1085C13CBE58},Water lettuce,1,0
{8CA53379-C722-4F82-BBE7-2015FC918800},Water lettuce,1,0
{8E479623-640F-4F33-AA76-318F7AE43568},Cuban bulrush,0,0
{8E479623-640F-4F33-AA76-318F7AE43568},Para grass,0,0
{A60D17C3-54B1-4D39-9CF8-C7C067AC9C95},Cuban bulrush,0,0
{A60D17C3-54B1-4D39-9CF8-C7C067AC9C95},Torpedograss,0,0
{B5EAA8B5-BEAD-4622-BED0-C472678B77B0},Hydrilla,0,0
{B5EAA8B5-BEAD-4622-BED0-C472678B77B0},Para grass,0,0
{B5EAA8B5-BEAD-4622-BED0-C472678B77B0},Water hyacinth,0,0
{B5EAA8B5-BEAD-4622-BED0-C472678B77B0},Water lettuce,0,0
{CAE80ADB-472F-42E6-AA6C-4E612D04F854},Hydrilla,0,0
{CAE80ADB-472F-42E6-AA6C-4E612D04F854},Para grass,0,0
{CAE80ADB-472F-42E6-AA6C-4E612D04F854},Water lettuce,0,0
10361596,Para grass,0,0
10361596,Water lettuce,0,0
10361818,Para grass,0,0
10361818,Torpedograss,0,0
10361818,Water lettuce,1,0
107712397,Cuban bulrush,0,0
107718387,Water lettuce,0,0
107723965,Hydrilla,0,0
107723965,Para grass,0,0
107723965,Water hyacinth,0,0
107723965,Water lettuce,0,0
107736253,Torpedograss,0,0
107775305,Hydrilla,0,0
107775305,Para grass,0,0
107775305,Torpedograss,0,0
107775343,Cuban bulrush,0,0
107775343,Water hyacinth,0,0
107775343,Water lettuce,0,0
107775717,Para grass,0,0
107775717,Water lettuce,1,0
107776017,Hydrilla,0,0
107776017,Para grass,0,0
107776125,Hydrilla,0,0
107776125,Para grass,0,0
107776125,Water hyacinth,0,0
107776125,Water lettuce,0,0
107777621,Cuban bulrush,0,0
107777621,Torpedograss,0,0
107777681,Water lettuce,0,0
107777883,Cuban bulrush,0,0
107777883,Water lettuce,0,0
107778387,Water hyacinth,0,0
107778387,Water lettuce,0,0
107778425,Hydrilla,0,0
107778425,Water lettuce,1,0
107778427,Hydrilla,0,0
107791825,Hydrilla,0,0
107805369,Cuban bulrush,0,0
107806849,Water hyacinth,0,0
107806849,Water lettuce,0,0
107806865,Water lettuce,0,0
107806875,Water lettuce,0,0
107807213,Water lettuce,1,0
107807541,Water lettuce,0,0
107808735,Water lettuce,1,0
107808999,Water lettuce,1,0
107809233,Water lettuce,1,0
107835897,Cuban bulrush,0,0
107835897,Torpedograss,0,0
112027751,Water lettuce,0,0
112027795,Water lettuce,1,0
112027953,Water lettuce,1,0
112028505,Water lettuce,1,0
112028991,Water lettuce,1,0
112029645,Water lettuce,1,0
112030525,Water lettuce,1,0
112030991,Water lettuce,1,0
112031063,Hydrilla,0,0
112031063,Water lettuce,1,0
112031311,Hydrilla,0,0
112031311,Water lettuce,1,0
112031491,Water lettuce,0,0
112034921,Water lettuce,1,0
112035421,Water lettuce,1,0
112035515,Water lettuce,1,0
112035917,Water lettuce,1,0
112038173,Hydrilla,0,0
112038173,Water lettuce,1,0
112042861,Cuban bulrush,0,0
112042861,Water lettuce,1,0
112043191,Cuban bulrush,0,0
112043191,Para grass,0,0
112043191,Water hyacinth,0,0
112043191,Water lettuce,0,0
