effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),3.0364635221413923,0.0203246411560311,149.39813691324915,0
fixed,cond,NA,Time,0.00351229934144259,0.0013678062298190798,2.567833999342994,0.010233614951491072
fixed,cond,NA,Time:HydrPACc,1.6279192134476336e-4,1.2883246381091825e-4,1.2635939461942287,0.2063758075781629
fixed,cond,NA,Time:FloatPACc,-0.004095974516745351,0.0010043824560631125,-4.078102412103434,4.540476686656721e-5
fixed,cond,NA,Time:TrtAreaConC,-0.0013937677977711484,4.3318941764287694e-4,-3.2174557849429646,0.0012933295971804266
fixed,cond,NA,Time:TrtAreaSysC,-4.028076309782872e-4,1.6433527703161262e-4,-2.4511330631754764,0.014240729867116103
fixed,cond,NA,Time:TrtAreaNonC,8.292663205247734e-5,7.154422911362823e-5,1.1590960316417878,0.24641704327346645
fixed,cond,NA,Time:TrtFreqConC,3.8883057725012026e-5,5.5315879597769656e-5,0.7029275862148596,0.4821008785307045
fixed,cond,NA,Time:TrtFreqSysC,3.4293440547841736e-5,5.114143862491588e-5,0.6705607325472093,0.502500404771667
fixed,cond,NA,Time:TrtFreqNonC,2.707167104330404e-4,1.0201615328974485e-4,2.6536651471669845,0.007962279713289873
fixed,cond,NA,Time:TrtMonthStd,-8.771617924864301e-4,0.0011391024097443074,-0.7700464725408889,0.44127232615477274
ran_pars,cond,AreaOfInterestID,sd__(Intercept),0.33281006959629694,NA,NA,NA
