TaxonName,Origin,Habitat
Alternanthera philoxeroides,Non-native,Emersed
Colocasia esculenta,Non-native,Emersed
Cyperus blepharoleptos,Non-native,Emersed
Limnophila sessiliflora,Non-native,Emersed
Myriophyllum aquaticum,Non-native,Emersed
Panicum repens,Non-native,Emersed
Pennisetum purpureum,Non-native,Emersed
Urochloa mutica,Non-native,Emersed
Bacopa caroliniana,Native,Emersed
Bacopa monnieri,Native,Emersed
Bidens spp.,Native,Emersed
Brasenia schreberi,Native,Emersed
Carex spp.,Native,Emersed
Cephalanthus occidentalis,Native,Emersed
Cicuta maculata,Native,Emersed
Cladium jamaicense,Native,Emersed
Crinum americanum,Native,Emersed
Cyperus articulatus,Native,Emersed
Cyperus spp. (other natives),Native,Emersed
Decodon verticillatus,Native,Emersed
Echinochloa spp.,Native,Emersed
Echinodorus spp.,Native,Emersed
"Eleocharis spp., emersed",Native,Emersed
Fuirena spp.,Native,Emersed
Hydrocotyle spp.,Native,Emersed
Hymenocallis spp.,Native,Emersed
Hypericum spp.,Native,Emersed
Juncus effusus,Native,Emersed
Juncus repens,Native,Emersed
Juncus roemerianus,Native,Emersed
Leersia hexandra,Native,Emersed
Ludwigia octovalvis/peruviana,Native,Emersed
Ludwigia palustris/repens,Native,Emersed
Micranthemum umbrosum,Native,Emersed
Nelumbo lutea,Native,Emersed
Nuphar advena,Native,Emersed
Nymphaea mexicana,Native,Emersed
Nymphaea odorata,Native,Emersed
Nymphoides aquatica,Native,Emersed
Orontium aquaticum,Native,Emersed
Panicum hemitomon,Native,Emersed
Paspalidium geminatum,Native,Emersed
Paspalum repens,Native,Emersed
Peltandra spp.,Native,Emersed
Phragmites australis,Native,Emersed
Pontederia cordata,Native,Emersed
Rhynchospora spp.,Native,Emersed
Sacciolepis striata,Native,Emersed
Sagittaria kurziana,Native,Emersed
Sagittaria lancifolia,Native,Emersed
Sagittaria latifolia,Native,Emersed
Sagittaria subulata/graminea/gracillima,Native,Emersed
Salix spp.,Native,Emersed
Saururus cernuus,Native,Emersed
Sparganium americanum,Native,Emersed
Spartina bakeri,Native,Emersed
Thalia geniculata,Native,Emersed
Typha spp.,Native,Emersed
Zizania aquatica,Native,Emersed
Zizaniopsis miliacea,Native,Emersed
Ceratopteris thalictroides,Non-native,Floating
Salvinia minima,Non-native,Floating
Azolla caroliniana,Native,Floating
Filamentous algae,Native,Floating
Lemna/Spirodela spp.,Native,Floating
Limnobium spongia,Native,Floating
Wolffia spp.,Native,Floating
Egeria densa,Non-native,Submersed
Hygrophila polysperma,Non-native,Submersed
Myriophyllum spicatum,Non-native,Submersed
Najas minor,Non-native,Submersed
Cabomba caroliniana,Native,Submersed
Ceratophyllum demersum,Native,Submersed
Chara spp.,Native,Submersed
"Eleocharis spp., sub/floating",Native,Submersed
Fontinalis spp.,Native,Submersed
Luziola fluitans,Native,Submersed
Mayaca fluviatilis,Native,Submersed
Micranthemum glomeratum,Native,Submersed
Myriophyllum heterophyllum,Native,Submersed
Myriophyllum laxum/pinnatum,Native,Submersed
Najas filifolia,Native,Submersed
Najas guadalupensis,Native,Submersed
Najas marina,Native,Submersed
Nitella spp.,Native,Submersed
Potamogeton diversifolius,Native,Submersed
Potamogeton illinoensis,Native,Submersed
Potamogeton pusillus,Native,Submersed
Proserpinaca spp.,Native,Submersed
Ruppia maritima,Native,Submersed
Stuckenia pectinata,Native,Submersed
Utricularia floridana,Native,Submersed
Utricularia foliosa,Native,Submersed
Utricularia gibba,Native,Submersed
Utricularia inflata,Native,Submersed
Utricularia purpurea,Native,Submersed
Vallisneria americana,Native,Submersed
