effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),2.895202172690422,0.01942031080614975,149.0811450748569,0
fixed,cond,NA,Time,0.008421838612947213,4.861922850415914e-4,17.322032603266763,3.2082269962730733e-67
fixed,cond,NA,Time:HydrCovC,8.161140860932253e-5,5.6275685453168935e-5,1.4502072778347104,0.1470007261732678
fixed,cond,NA,Time:FloatCovC,-0.002067105735862949,3.631425266426911e-4,-5.692271172351147,1.2536054531592676e-8
fixed,cond,NA,Time:HydrTrtFreqC,4.8091413534778026e-5,1.6969076005345643e-5,2.8340620031183867,0.0045960413632833074
fixed,cond,NA,Time:FloatTrtFreqC,-8.13650349846378e-5,1.540186001965405e-5,-5.282805770264713,1.272202504060167e-7
fixed,cond,NA,Time:OtherTrtFreqC,1.0718233954433375e-4,2.0721546051835568e-5,5.172506881301903,2.3097399055910573e-7
fixed,cond,NA,Time:HydrTrtAreaC,7.644681235279826e-5,4.8071944975998874e-5,1.5902583594436683,0.11177658060723676
fixed,cond,NA,Time:FloatTrtAreaC,-1.3623598083208454e-4,1.7169276534679693e-4,-0.7934870205911453,0.4274941284345645
fixed,cond,NA,Time:OtherTrtAreaC,-9.459628815923003e-5,2.4189215524826965e-4,-0.39106802807283975,0.6957469524429757
fixed,cond,NA,Time:LatitudeC,-0.0028563147585009122,5.64178729651835e-4,-5.062783491081977,4.131789996169539e-7
ran_pars,cond,AreaOfInterestID,sd__(Intercept),0.3277025363401327,NA,NA,NA
