effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),3.0363132807674673,0.02038321194173283,148.96147326765924,0
fixed,cond,NA,Time,0.003510674792510846,0.001460041132309648,2.4045040340454573,0.016194427480292466
fixed,cond,NA,Time:HydrPACc,1.6468523090416208e-4,1.348100899995125e-4,1.221609086565832,0.22185549079238345
fixed,cond,NA,Time:FloatPACc,-0.0026781269570943277,0.0012135780009589407,-2.2068024922816125,0.02732786087648821
fixed,cond,NA,Time:HydrTrtFreqC,-1.5647449373640574e-5,3.996056019537068e-5,-0.39157232273869097,0.6953742413200438
fixed,cond,NA,Time:FloatTrtFreqC,9.311899614106883e-5,4.114595915150315e-5,2.263138302310471,0.02362716508346409
fixed,cond,NA,Time:OtherTrtFreqC,1.8678592435387457e-5,4.488547501130677e-5,0.4161389053069455,0.6773083624991796
fixed,cond,NA,Time:HydrTrtAreaC,-1.788122406136237e-4,1.3827098137695625e-4,-1.293201500654308,0.19594137678860066
fixed,cond,NA,Time:FloatTrtAreaC,-0.004540394249862758,0.001360239713888539,-3.3379368382673227,8.440293308111379e-4
fixed,cond,NA,Time:OtherTrtAreaC,5.672727281284483e-4,9.99331393124191e-4,0.5676522643354516,0.5702711110412544
ran_pars,cond,AreaOfInterestID,sd__(Intercept),0.3332867786013456,NA,NA,NA
